,League,Year,Date,Time,H_Code,H_Team,A_Code,A_Team,H_Goals,A_Goals,Result
69,epl,2013,06/10/13,,WBA,West Brom,ARS,Arsenal,1,1,D
70,epl,2013,19/10/13,,ARS,Arsenal,NOR,Norwich,4,1,H
71,epl,2013,19/10/13,,CHE,Chelsea,CAR,Cardiff,4,1,H
72,epl,2013,19/10/13,,EVE,Everton,HUL,Hull,2,1,H
73,epl,2013,19/10/13,,MAN,Man United,SOU,Southampton,1,1,D
74,epl,2013,19/10/13,,NEW,Newcastle,LIV,Liverpool,2,2,D
75,epl,2013,19/10/13,,STK,Stoke,WBA,West Brom,0,0,D
76,epl,2013,19/10/13,,SWA,Swansea,SUN,Sunderland,4,0,H
77,epl,2013,19/10/13,,WHU,West Ham,MNC,Man City,1,3,A
78,epl,2013,20/10/13,,AVL,Aston Villa,TOT,Tottenham,0,2,A
79,epl,2013,21/10/13,,CRY,Crystal Palace,FUL,Fulham,1,4,A
80,epl,2013,26/10/13,,AVL,Aston Villa,EVE,Everton,0,2,A
81,epl,2013,26/10/13,,CRY,Crystal Palace,ARS,Arsenal,0,2,A
82,epl,2013,26/10/13,,LIV,Liverpool,WBA,West Brom,4,1,H
83,epl,2013,26/10/13,,MAN,Man United,STK,Stoke,3,2,H
84,epl,2013,26/10/13,,NOR,Norwich,CAR,Cardiff,0,0,D
85,epl,2013,26/10/13,,SOU,Southampton,FUL,Fulham,2,0,H
86,epl,2013,27/10/13,,CHE,Chelsea,MNC,Man City,2,1,H
87,epl,2013,27/10/13,,SUN,Sunderland,NEW,Newcastle,2,1,H
88,epl,2013,27/10/13,,SWA,Swansea,WHU,West Ham,0,0,D
89,epl,2013,27/10/13,,TOT,Tottenham,HUL,Hull,1,0,H
90,epl,2013,02/11/13,,ARS,Arsenal,LIV,Liverpool,2,0,H
91,epl,2013,02/11/13,,FUL,Fulham,MAN,Man United,1,3,A
92,epl,2013,02/11/13,,HUL,Hull,SUN,Sunderland,1,0,H
93,epl,2013,02/11/13,,MNC,Man City,NOR,Norwich,7,0,H
94,epl,2013,02/11/13,,NEW,Newcastle,CHE,Chelsea,2,0,H
95,epl,2013,02/11/13,,STK,Stoke,SOU,Southampton,1,1,D
96,epl,2013,02/11/13,,WBA,West Brom,CRY,Crystal Palace,2,0,H
97,epl,2013,02/11/13,,WHU,West Ham,AVL,Aston Villa,0,0,D
98,epl,2013,03/11/13,,CAR,Cardiff,SWA,Swansea,1,0,H
99,epl,2013,03/11/13,,EVE,Everton,TOT,Tottenham,0,0,D
100,epl,2013,09/11/13,,AVL,Aston Villa,CAR,Cardiff,2,0,H
101,epl,2013,09/11/13,,CHE,Chelsea,WBA,West Brom,2,2,D
102,epl,2013,09/11/13,,CRY,Crystal Palace,EVE,Everton,0,0,D
103,epl,2013,09/11/13,,LIV,Liverpool,FUL,Fulham,4,0,H
104,epl,2013,09/11/13,,NOR,Norwich,WHU,West Ham,3,1,H
105,epl,2013,09/11/13,,SOU,Southampton,HUL,Hull,4,1,H
106,epl,2013,10/11/13,,MAN,Man United,ARS,Arsenal,1,0,H
107,epl,2013,10/11/13,,SUN,Sunderland,MNC,Man City,1,0,H
108,epl,2013,10/11/13,,SWA,Swansea,STK,Stoke,3,3,D
109,epl,2013,10/11/13,,TOT,Tottenham,NEW,Newcastle,0,1,A
110,epl,2013,23/11/13,,ARS,Arsenal,SOU,Southampton,2,0,H
111,epl,2013,23/11/13,,EVE,Everton,LIV,Liverpool,3,3,D
112,epl,2013,23/11/13,,FUL,Fulham,SWA,Swansea,1,2,A
113,epl,2013,23/11/13,,HUL,Hull,CRY,Crystal Palace,0,1,A
114,epl,2013,23/11/13,,NEW,Newcastle,NOR,Norwich,2,1,H
115,epl,2013,23/11/13,,STK,Stoke,SUN,Sunderland,2,0,H
116,epl,2013,23/11/13,,WHU,West Ham,CHE,Chelsea,0,3,A
117,epl,2013,24/11/13,,CAR,Cardiff,MAN,Man United,2,2,D
118,epl,2013,24/11/13,,MNC,Man City,TOT,Tottenham,6,0,H
119,epl,2013,25/11/13,,WBA,West Brom,AVL,Aston Villa,2,2,D
120,epl,2013,30/11/13,,AVL,Aston Villa,SUN,Sunderland,0,0,D
121,epl,2013,30/11/13,,CAR,Cardiff,ARS,Arsenal,0,3,A
122,epl,2013,30/11/13,,EVE,Everton,STK,Stoke,4,0,H
123,epl,2013,30/11/13,,NEW,Newcastle,WBA,West Brom,2,1,H
124,epl,2013,30/11/13,,NOR,Norwich,CRY,Crystal Palace,1,0,H
125,epl,2013,30/11/13,,WHU,West Ham,FUL,Fulham,3,0,H
126,epl,2013,01/12/13,,CHE,Chelsea,SOU,Southampton,3,1,H
127,epl,2013,01/12/13,,HUL,Hull,LIV,Liverpool,3,1,H
128,epl,2013,01/12/13,,MNC,Man City,SWA,Swansea,3,0,H
129,epl,2013,01/12/13,,TOT,Tottenham,MAN,Man United,2,2,D
130,epl,2013,03/12/13,,CRY,Crystal Palace,WHU,West Ham,1,0,H
131,epl,2013,04/12/13,,ARS,Arsenal,HUL,Hull,2,0,H
132,epl,2013,04/12/13,,FUL,Fulham,TOT,Tottenham,1,2,A
133,epl,2013,04/12/13,,LIV,Liverpool,NOR,Norwich,5,1,H
134,epl,2013,04/12/13,,MAN,Man United,EVE,Everton,0,1,A
135,epl,2013,04/12/13,,SOU,Southampton,AVL,Aston Villa,2,3,A
136,epl,2013,04/12/13,,STK,Stoke,CAR,Cardiff,0,0,D
137,epl,2013,04/12/13,,SUN,Sunderland,CHE,Chelsea,3,4,A
138,epl,2013,04/12/13,,SWA,Swansea,NEW,Newcastle,3,0,H
139,epl,2013,04/12/13,,WBA,West Brom,MNC,Man City,2,3,A
140,epl,2013,07/12/13,,CRY,Crystal Palace,CAR,Cardiff,2,0,H
141,epl,2013,07/12/13,,LIV,Liverpool,WHU,West Ham,4,1,H
142,epl,2013,07/12/13,,MAN,Man United,NEW,Newcastle,0,1,A
143,epl,2013,07/12/13,,SOU,Southampton,MNC,Man City,1,1,D
144,epl,2013,07/12/13,,STK,Stoke,CHE,Chelsea,3,2,H
145,epl,2013,07/12/13,,SUN,Sunderland,TOT,Tottenham,1,2,A
146,epl,2013,07/12/13,,WBA,West Brom,NOR,Norwich,0,2,A
147,epl,2013,08/12/13,,ARS,Arsenal,EVE,Everton,1,1,D
148,epl,2013,08/12/13,,FUL,Fulham,AVL,Aston Villa,2,0,H
149,epl,2013,09/12/13,,SWA,Swansea,HUL,Hull,1,1,D
150,epl,2013,14/12/13,,CAR,Cardiff,WBA,West Brom,1,0,H
151,epl,2013,14/12/13,,CHE,Chelsea,CRY,Crystal Palace,2,1,H
152,epl,2013,14/12/13,,EVE,Everton,FUL,Fulham,4,1,H
153,epl,2013,14/12/13,,HUL,Hull,STK,Stoke,0,0,D
154,epl,2013,14/12/13,,MNC,Man City,ARS,Arsenal,6,3,H
155,epl,2013,14/12/13,,NEW,Newcastle,SOU,Southampton,1,1,D
156,epl,2013,14/12/13,,WHU,West Ham,SUN,Sunderland,0,0,D
157,epl,2013,15/12/13,,AVL,Aston Villa,MAN,Man United,0,3,A
158,epl,2013,15/12/13,,NOR,Norwich,SWA,Swansea,1,1,D
159,epl,2013,15/12/13,,TOT,Tottenham,LIV,Liverpool,0,5,A
160,epl,2013,21/12/13,,CRY,Crystal Palace,NEW,Newcastle,0,3,A
161,epl,2013,21/12/13,,FUL,Fulham,MNC,Man City,2,4,A
162,epl,2013,21/12/13,,LIV,Liverpool,CAR,Cardiff,3,1,H
163,epl,2013,21/12/13,,MAN,Man United,WHU,West Ham,3,1,H
164,epl,2013,21/12/13,,STK,Stoke,AVL,Aston Villa,2,1,H
165,epl,2013,21/12/13,,SUN,Sunderland,NOR,Norwich,0,0,D
166,epl,2013,21/12/13,,WBA,West Brom,HUL,Hull,1,1,D
167,epl,2013,22/12/13,,SOU,Southampton,TOT,Tottenham,2,3,A
168,epl,2013,22/12/13,,SWA,Swansea,EVE,Everton,1,2,A
169,epl,2013,23/12/13,,ARS,Arsenal,CHE,Chelsea,0,0,D
170,epl,2013,26/12/13,,AVL,Aston Villa,CRY,Crystal Palace,0,1,A
171,epl,2013,26/12/13,,CAR,Cardiff,SOU,Southampton,0,3,A
172,epl,2013,26/12/13,,CHE,Chelsea,SWA,Swansea,1,0,H
173,epl,2013,26/12/13,,EVE,Everton,SUN,Sunderland,0,1,A
174,epl,2013,26/12/13,,HUL,Hull,MAN,Man United,2,3,A
175,epl,2013,26/12/13,,MNC,Man City,LIV,Liverpool,2,1,H
176,epl,2013,26/12/13,,NEW,Newcastle,STK,Stoke,5,1,H
177,epl,2013,26/12/13,,NOR,Norwich,FUL,Fulham,1,2,A
178,epl,2013,26/12/13,,TOT,Tottenham,WBA,West Brom,1,1,D
179,epl,2013,26/12/13,,WHU,West Ham,ARS,Arsenal,1,3,A
180,epl,2013,28/12/13,,AVL,Aston Villa,SWA,Swansea,1,1,D
181,epl,2013,28/12/13,,CAR,Cardiff,SUN,Sunderland,2,2,D
182,epl,2013,28/12/13,,HUL,Hull,FUL,Fulham,6,0,H
183,epl,2013,28/12/13,,MNC,Man City,CRY,Crystal Palace,1,0,H
184,epl,2013,28/12/13,,NOR,Norwich,MAN,Man United,0,1,A
185,epl,2013,28/12/13,,WHU,West Ham,WBA,West Brom,3,3,D
186,epl,2013,29/12/13,,CHE,Chelsea,LIV,Liverpool,2,1,H
187,epl,2013,29/12/13,,EVE,Everton,SOU,Southampton,2,1,H
188,epl,2013,29/12/13,,NEW,Newcastle,ARS,Arsenal,0,1,A
189,epl,2013,29/12/13,,TOT,Tottenham,STK,Stoke,3,0,H
190,epl,2013,01/01/14,,ARS,Arsenal,CAR,Cardiff,2,0,H
191,epl,2013,01/01/14,,CRY,Crystal Palace,NOR,Norwich,1,1,D
192,epl,2013,01/01/14,,FUL,Fulham,WHU,West Ham,2,1,H
193,epl,2013,01/01/14,,LIV,Liverpool,HUL,Hull,2,0,H
194,epl,2013,01/01/14,,MAN,Man United,TOT,Tottenham,1,2,A
195,epl,2013,01/01/14,,SOU,Southampton,CHE,Chelsea,0,3,A
196,epl,2013,01/01/14,,STK,Stoke,EVE,Everton,1,1,D
197,epl,2013,01/01/14,,SUN,Sunderland,AVL,Aston Villa,0,1,A
198,epl,2013,01/01/14,,SWA,Swansea,MNC,Man City,2,3,A
199,epl,2013,01/01/14,,WBA,West Brom,NEW,Newcastle,1,0,H
200,epl,2013,11/01/14,,CAR,Cardiff,WHU,West Ham,0,2,A
201,epl,2013,11/01/14,,EVE,Everton,NOR,Norwich,2,0,H
202,epl,2013,11/01/14,,FUL,Fulham,SUN,Sunderland,1,4,A
203,epl,2013,11/01/14,,HUL,Hull,CHE,Chelsea,0,2,A
204,epl,2013,11/01/14,,MAN,Man United,SWA,Swansea,2,0,H
205,epl,2013,11/01/14,,SOU,Southampton,WBA,West Brom,1,0,H
206,epl,2013,11/01/14,,TOT,Tottenham,CRY,Crystal Palace,2,0,H
207,epl,2013,12/01/14,,NEW,Newcastle,MNC,Man City,0,2,A
208,epl,2013,12/01/14,,STK,Stoke,LIV,Liverpool,3,5,A
209,epl,2013,13/01/14,,AVL,Aston Villa,ARS,Arsenal,1,2,A
210,epl,2013,18/01/14,,ARS,Arsenal,FUL,Fulham,2,0,H
211,epl,2013,18/01/14,,CRY,Crystal Palace,STK,Stoke,1,0,H
212,epl,2013,18/01/14,,LIV,Liverpool,AVL,Aston Villa,2,2,D
213,epl,2013,18/01/14,,MNC,Man City,CAR,Cardiff,4,2,H
214,epl,2013,18/01/14,,NOR,Norwich,HUL,Hull,1,0,H
215,epl,2013,18/01/14,,SUN,Sunderland,SOU,Southampton,2,2,D
216,epl,2013,18/01/14,,WHU,West Ham,NEW,Newcastle,1,3,A
217,epl,2013,19/01/14,,CHE,Chelsea,MAN,Man United,3,1,H
218,epl,2013,19/01/14,,SWA,Swansea,TOT,Tottenham,1,3,A
219,epl,2013,20/01/14,,WBA,West Brom,EVE,Everton,1,1,D
220,epl,2013,28/01/14,,CRY,Crystal Palace,HUL,Hull,1,0,H
221,epl,2013,28/01/14,,LIV,Liverpool,EVE,Everton,4,0,H
222,epl,2013,28/01/14,,MAN,Man United,CAR,Cardiff,2,0,H
223,epl,2013,28/01/14,,NOR,Norwich,NEW,Newcastle,0,0,D
224,epl,2013,28/01/14,,SOU,Southampton,ARS,Arsenal,2,2,D
225,epl,2013,28/01/14,,SWA,Swansea,FUL,Fulham,2,0,H
226,epl,2013,29/01/14,,AVL,Aston Villa,WBA,West Brom,4,3,H
227,epl,2013,29/01/14,,CHE,Chelsea,WHU,West Ham,0,0,D
228,epl,2013,29/01/14,,SUN,Sunderland,STK,Stoke,1,0,H
229,epl,2013,29/01/14,,TOT,Tottenham,MNC,Man City,1,5,A
230,epl,2013,01/02/14,,CAR,Cardiff,NOR,Norwich,2,1,H
231,epl,2013,01/02/14,,EVE,Everton,AVL,Aston Villa,2,1,H
232,epl,2013,01/02/14,,FUL,Fulham,SOU,Southampton,0,3,A
233,epl,2013,01/02/14,,HUL,Hull,TOT,Tottenham,1,1,D
234,epl,2013,01/02/14,,NEW,Newcastle,SUN,Sunderland,0,3,A
235,epl,2013,01/02/14,,STK,Stoke,MAN,Man United,2,1,H
236,epl,2013,01/02/14,,WHU,West Ham,SWA,Swansea,2,0,H
237,epl,2013,02/02/14,,ARS,Arsenal,CRY,Crystal Palace,2,0,H
238,epl,2013,02/02/14,,WBA,West Brom,LIV,Liverpool,1,1,D
239,epl,2013,03/02/14,,MNC,Man City,CHE,Chelsea,0,1,A
240,epl,2013,08/02/14,,AVL,Aston Villa,WHU,West Ham,0,2,A
241,epl,2013,08/02/14,,CHE,Chelsea,NEW,Newcastle,3,0,H
242,epl,2013,08/02/14,,CRY,Crystal Palace,WBA,West Brom,3,1,H
243,epl,2013,08/02/14,,LIV,Liverpool,ARS,Arsenal,5,1,H
244,epl,2013,08/02/14,,NOR,Norwich,MNC,Man City,0,0,D
245,epl,2013,08/02/14,,SOU,Southampton,STK,Stoke,2,2,D
246,epl,2013,08/02/14,,SUN,Sunderland,HUL,Hull,0,2,A
247,epl,2013,08/02/14,,SWA,Swansea,CAR,Cardiff,3,0,H
248,epl,2013,09/02/14,,MAN,Man United,FUL,Fulham,2,2,D
249,epl,2013,09/02/14,,TOT,Tottenham,EVE,Everton,1,0,H
250,epl,2013,11/02/14,,CAR,Cardiff,AVL,Aston Villa,0,0,D
251,epl,2013,11/02/14,,HUL,Hull,SOU,Southampton,0,1,A
252,epl,2013,11/02/14,,WBA,West Brom,CHE,Chelsea,1,1,D
253,epl,2013,11/02/14,,WHU,West Ham,NOR,Norwich,2,0,H
254,epl,2013,12/02/14,,ARS,Arsenal,MAN,Man United,0,0,D
255,epl,2013,12/02/14,,FUL,Fulham,LIV,Liverpool,2,3,A
256,epl,2013,12/02/14,,NEW,Newcastle,TOT,Tottenham,0,4,A
257,epl,2013,12/02/14,,STK,Stoke,SWA,Swansea,1,1,D
258,epl,2013,22/02/14,,ARS,Arsenal,SUN,Sunderland,4,1,H
259,epl,2013,22/02/14,,CAR,Cardiff,HUL,Hull,0,4,A
260,epl,2013,22/02/14,,CHE,Chelsea,EVE,Everton,1,0,H
261,epl,2013,22/02/14,,CRY,Crystal Palace,MAN,Man United,0,2,A
262,epl,2013,22/02/14,,MNC,Man City,STK,Stoke,1,0,H
263,epl,2013,22/02/14,,WBA,West Brom,FUL,Fulham,1,1,D
264,epl,2013,22/02/14,,WHU,West Ham,SOU,Southampton,3,1,H
265,epl,2013,23/02/14,,LIV,Liverpool,SWA,Swansea,4,3,H
266,epl,2013,23/02/14,,NEW,Newcastle,AVL,Aston Villa,1,0,H
267,epl,2013,23/02/14,,NOR,Norwich,TOT,Tottenham,1,0,H
268,epl,2013,01/03/14,,EVE,Everton,WHU,West Ham,1,0,H
269,epl,2013,01/03/14,,FUL,Fulham,CHE,Chelsea,1,3,A
270,epl,2013,01/03/14,,HUL,Hull,NEW,Newcastle,1,4,A
271,epl,2013,01/03/14,,SOU,Southampton,LIV,Liverpool,0,3,A
272,epl,2013,01/03/14,,STK,Stoke,ARS,Arsenal,1,0,H
273,epl,2013,02/03/14,,AVL,Aston Villa,NOR,Norwich,4,1,H
274,epl,2013,02/03/14,,SWA,Swansea,CRY,Crystal Palace,1,1,D
275,epl,2013,02/03/14,,TOT,Tottenham,CAR,Cardiff,1,0,H
