,League,Year,Date,Time,H_Code,H_Team,A_Code,A_Team,H_Goals,A_Goals,Result
0,epl,2013,17/08/13,,,Arsenal,,Aston Villa,1,3,A
1,epl,2013,17/08/13,,,Liverpool,,Stoke,1,0,H
2,epl,2013,17/08/13,,,Norwich,,Everton,2,2,D
3,epl,2013,17/08/13,,,Sunderland,,Fulham,0,1,A
4,epl,2013,17/08/13,,,Swansea,,Man United,1,4,A
5,epl,2013,17/08/13,,,West Brom,,Southampton,0,1,A
6,epl,2013,17/08/13,,,West Ham,,Cardiff,2,0,H
7,epl,2013,18/08/13,,,Chelsea,,Hull,2,0,H
8,epl,2013,18/08/13,,,Crystal Palace,,Tottenham,0,1,A
9,epl,2013,19/08/13,,,Man City,,Newcastle,4,0,H
10,epl,2013,21/08/13,,,Chelsea,,Aston Villa,2,1,H
11,epl,2013,24/08/13,,,Aston Villa,,Liverpool,0,1,A
12,epl,2013,24/08/13,,,Everton,,West Brom,0,0,D
13,epl,2013,24/08/13,,,Fulham,,Arsenal,1,3,A
14,epl,2013,24/08/13,,,Hull,,Norwich,1,0,H
15,epl,2013,24/08/13,,,Newcastle,,West Ham,0,0,D
16,epl,2013,24/08/13,,,Southampton,,Sunderland,1,1,D
17,epl,2013,24/08/13,,,Stoke,,Crystal Palace,2,1,H
18,epl,2013,25/08/13,,,Cardiff,,Man City,3,2,H
19,epl,2013,25/08/13,,,Tottenham,,Swansea,1,0,H
20,epl,2013,26/08/13,,,Man United,,Chelsea,0,0,D
21,epl,2013,31/08/13,,,Cardiff,,Everton,0,0,D
22,epl,2013,31/08/13,,,Crystal Palace,,Sunderland,3,1,H
23,epl,2013,31/08/13,,,Man City,,Hull,2,0,H
24,epl,2013,31/08/13,,,Newcastle,,Fulham,1,0,H
25,epl,2013,31/08/13,,,Norwich,,Southampton,1,0,H
26,epl,2013,31/08/13,,,West Ham,,Stoke,0,1,A
27,epl,2013,01/09/13,,,Arsenal,,Tottenham,1,0,H
28,epl,2013,01/09/13,,,Liverpool,,Man United,1,0,H
29,epl,2013,01/09/13,,,West Brom,,Swansea,0,2,A
30,epl,2013,14/09/13,,,Aston Villa,,Newcastle,1,2,A
31,epl,2013,14/09/13,,,Everton,,Chelsea,1,0,H
32,epl,2013,14/09/13,,,Fulham,,West Brom,1,1,D
33,epl,2013,14/09/13,,,Hull,,Cardiff,1,1,D
34,epl,2013,14/09/13,,,Man United,,Crystal Palace,2,0,H
35,epl,2013,14/09/13,,,Stoke,,Man City,0,0,D
36,epl,2013,14/09/13,,,Sunderland,,Arsenal,1,3,A
37,epl,2013,14/09/13,,,Tottenham,,Norwich,2,0,H
38,epl,2013,15/09/13,,,Southampton,,West Ham,0,0,D
39,epl,2013,16/09/13,,,Swansea,,Liverpool,2,2,D
40,epl,2013,21/09/13,,,Chelsea,,Fulham,2,0,H
41,epl,2013,21/09/13,,,Liverpool,,Southampton,0,1,A
42,epl,2013,21/09/13,,,Newcastle,,Hull,2,3,A
43,epl,2013,21/09/13,,,Norwich,,Aston Villa,0,1,A
44,epl,2013,21/09/13,,,West Brom,,Sunderland,3,0,H
45,epl,2013,21/09/13,,,West Ham,,Everton,2,3,A
46,epl,2013,22/09/13,,,Arsenal,,Stoke,3,1,H
47,epl,2013,22/09/13,,,Cardiff,,Tottenham,0,1,A
48,epl,2013,22/09/13,,,Crystal Palace,,Swansea,0,2,A
49,epl,2013,22/09/13,,,Man City,,Man United,4,1,H
50,epl,2013,28/09/13,,,Aston Villa,,Man City,3,2,H
51,epl,2013,28/09/13,,,Fulham,,Cardiff,1,2,A
52,epl,2013,28/09/13,,,Hull,,West Ham,1,0,H
53,epl,2013,28/09/13,,,Man United,,West Brom,1,2,A
54,epl,2013,28/09/13,,,Southampton,,Crystal Palace,2,0,H
55,epl,2013,28/09/13,,,Swansea,,Arsenal,1,2,A
56,epl,2013,28/09/13,,,Tottenham,,Chelsea,1,1,D
57,epl,2013,29/09/13,,,Stoke,,Norwich,0,1,A
58,epl,2013,29/09/13,,,Sunderland,,Liverpool,1,3,A
59,epl,2013,30/09/13,,,Everton,,Newcastle,3,2,H
60,epl,2013,05/10/13,,,Cardiff,,Newcastle,1,2,A
61,epl,2013,05/10/13,,,Fulham,,Stoke,1,0,H
62,epl,2013,05/10/13,,,Hull,,Aston Villa,0,0,D
63,epl,2013,05/10/13,,,Liverpool,,Crystal Palace,3,1,H
64,epl,2013,05/10/13,,,Man City,,Everton,3,1,H
65,epl,2013,05/10/13,,,Sunderland,,Man United,1,2,A
66,epl,2013,06/10/13,,,Norwich,,Chelsea,1,3,A
67,epl,2013,06/10/13,,,Southampton,,Swansea,2,0,H
68,epl,2013,06/10/13,,,Tottenham,,West Ham,0,3,A
69,epl,2013,06/10/13,,,West Brom,,Arsenal,1,1,D
70,epl,2013,19/10/13,,,Arsenal,,Norwich,4,1,H
71,epl,2013,19/10/13,,,Chelsea,,Cardiff,4,1,H
72,epl,2013,19/10/13,,,Everton,,Hull,2,1,H
73,epl,2013,19/10/13,,,Man United,,Southampton,1,1,D
74,epl,2013,19/10/13,,,Newcastle,,Liverpool,2,2,D
75,epl,2013,19/10/13,,,Stoke,,West Brom,0,0,D
76,epl,2013,19/10/13,,,Swansea,,Sunderland,4,0,H
77,epl,2013,19/10/13,,,West Ham,,Man City,1,3,A
78,epl,2013,20/10/13,,,Aston Villa,,Tottenham,0,2,A
79,epl,2013,21/10/13,,,Crystal Palace,,Fulham,1,4,A
80,epl,2013,26/10/13,,,Aston Villa,,Everton,0,2,A
81,epl,2013,26/10/13,,,Crystal Palace,,Arsenal,0,2,A
82,epl,2013,26/10/13,,,Liverpool,,West Brom,4,1,H
83,epl,2013,26/10/13,,,Man United,,Stoke,3,2,H
84,epl,2013,26/10/13,,,Norwich,,Cardiff,0,0,D
85,epl,2013,26/10/13,,,Southampton,,Fulham,2,0,H
86,epl,2013,27/10/13,,,Chelsea,,Man City,2,1,H
87,epl,2013,27/10/13,,,Sunderland,,Newcastle,2,1,H
88,epl,2013,27/10/13,,,Swansea,,West Ham,0,0,D
89,epl,2013,27/10/13,,,Tottenham,,Hull,1,0,H
90,epl,2013,02/11/13,,,Arsenal,,Liverpool,2,0,H
91,epl,2013,02/11/13,,,Fulham,,Man United,1,3,A
92,epl,2013,02/11/13,,,Hull,,Sunderland,1,0,H
93,epl,2013,02/11/13,,,Man City,,Norwich,7,0,H
94,epl,2013,02/11/13,,,Newcastle,,Chelsea,2,0,H
95,epl,2013,02/11/13,,,Stoke,,Southampton,1,1,D
96,epl,2013,02/11/13,,,West Brom,,Crystal Palace,2,0,H
97,epl,2013,02/11/13,,,West Ham,,Aston Villa,0,0,D
98,epl,2013,03/11/13,,,Cardiff,,Swansea,1,0,H
99,epl,2013,03/11/13,,,Everton,,Tottenham,0,0,D
100,epl,2013,09/11/13,,,Aston Villa,,Cardiff,2,0,H
