,League,Year,Date,Time,H_Code,H_Team,A_Code,A_Team,H_Goals,A_Goals,Result
101,epl,2013,09/11/13,,,Chelsea,,West Brom,2,2,D
102,epl,2013,09/11/13,,,Crystal Palace,,Everton,0,0,D
103,epl,2013,09/11/13,,,Liverpool,,Fulham,4,0,H
104,epl,2013,09/11/13,,,Norwich,,West Ham,3,1,H
105,epl,2013,09/11/13,,,Southampton,,Hull,4,1,H
106,epl,2013,10/11/13,,,Man United,,Arsenal,1,0,H
107,epl,2013,10/11/13,,,Sunderland,,Man City,1,0,H
108,epl,2013,10/11/13,,,Swansea,,Stoke,3,3,D
109,epl,2013,10/11/13,,,Tottenham,,Newcastle,0,1,A
110,epl,2013,23/11/13,,,Arsenal,,Southampton,2,0,H
111,epl,2013,23/11/13,,,Everton,,Liverpool,3,3,D
112,epl,2013,23/11/13,,,Fulham,,Swansea,1,2,A
113,epl,2013,23/11/13,,,Hull,,Crystal Palace,0,1,A
114,epl,2013,23/11/13,,,Newcastle,,Norwich,2,1,H
115,epl,2013,23/11/13,,,Stoke,,Sunderland,2,0,H
116,epl,2013,23/11/13,,,West Ham,,Chelsea,0,3,A
117,epl,2013,24/11/13,,,Cardiff,,Man United,2,2,D
118,epl,2013,24/11/13,,,Man City,,Tottenham,6,0,H
119,epl,2013,25/11/13,,,West Brom,,Aston Villa,2,2,D
120,epl,2013,30/11/13,,,Aston Villa,,Sunderland,0,0,D
121,epl,2013,30/11/13,,,Cardiff,,Arsenal,0,3,A
122,epl,2013,30/11/13,,,Everton,,Stoke,4,0,H
123,epl,2013,30/11/13,,,Newcastle,,West Brom,2,1,H
124,epl,2013,30/11/13,,,Norwich,,Crystal Palace,1,0,H
125,epl,2013,30/11/13,,,West Ham,,Fulham,3,0,H
126,epl,2013,01/12/13,,,Chelsea,,Southampton,3,1,H
127,epl,2013,01/12/13,,,Hull,,Liverpool,3,1,H
128,epl,2013,01/12/13,,,Man City,,Swansea,3,0,H
129,epl,2013,01/12/13,,,Tottenham,,Man United,2,2,D
130,epl,2013,03/12/13,,,Crystal Palace,,West Ham,1,0,H
131,epl,2013,04/12/13,,,Arsenal,,Hull,2,0,H
132,epl,2013,04/12/13,,,Fulham,,Tottenham,1,2,A
133,epl,2013,04/12/13,,,Liverpool,,Norwich,5,1,H
134,epl,2013,04/12/13,,,Man United,,Everton,0,1,A
135,epl,2013,04/12/13,,,Southampton,,Aston Villa,2,3,A
136,epl,2013,04/12/13,,,Stoke,,Cardiff,0,0,D
137,epl,2013,04/12/13,,,Sunderland,,Chelsea,3,4,A
138,epl,2013,04/12/13,,,Swansea,,Newcastle,3,0,H
139,epl,2013,04/12/13,,,West Brom,,Man City,2,3,A
140,epl,2013,07/12/13,,,Crystal Palace,,Cardiff,2,0,H
141,epl,2013,07/12/13,,,Liverpool,,West Ham,4,1,H
142,epl,2013,07/12/13,,,Man United,,Newcastle,0,1,A
143,epl,2013,07/12/13,,,Southampton,,Man City,1,1,D
144,epl,2013,07/12/13,,,Stoke,,Chelsea,3,2,H
145,epl,2013,07/12/13,,,Sunderland,,Tottenham,1,2,A
146,epl,2013,07/12/13,,,West Brom,,Norwich,0,2,A
147,epl,2013,08/12/13,,,Arsenal,,Everton,1,1,D
148,epl,2013,08/12/13,,,Fulham,,Aston Villa,2,0,H
149,epl,2013,09/12/13,,,Swansea,,Hull,1,1,D
150,epl,2013,14/12/13,,,Cardiff,,West Brom,1,0,H
151,epl,2013,14/12/13,,,Chelsea,,Crystal Palace,2,1,H
152,epl,2013,14/12/13,,,Everton,,Fulham,4,1,H
153,epl,2013,14/12/13,,,Hull,,Stoke,0,0,D
154,epl,2013,14/12/13,,,Man City,,Arsenal,6,3,H
155,epl,2013,14/12/13,,,Newcastle,,Southampton,1,1,D
156,epl,2013,14/12/13,,,West Ham,,Sunderland,0,0,D
157,epl,2013,15/12/13,,,Aston Villa,,Man United,0,3,A
158,epl,2013,15/12/13,,,Norwich,,Swansea,1,1,D
159,epl,2013,15/12/13,,,Tottenham,,Liverpool,0,5,A
160,epl,2013,21/12/13,,,Crystal Palace,,Newcastle,0,3,A
161,epl,2013,21/12/13,,,Fulham,,Man City,2,4,A
162,epl,2013,21/12/13,,,Liverpool,,Cardiff,3,1,H
163,epl,2013,21/12/13,,,Man United,,West Ham,3,1,H
164,epl,2013,21/12/13,,,Stoke,,Aston Villa,2,1,H
165,epl,2013,21/12/13,,,Sunderland,,Norwich,0,0,D
166,epl,2013,21/12/13,,,West Brom,,Hull,1,1,D
167,epl,2013,22/12/13,,,Southampton,,Tottenham,2,3,A
168,epl,2013,22/12/13,,,Swansea,,Everton,1,2,A
169,epl,2013,23/12/13,,,Arsenal,,Chelsea,0,0,D
170,epl,2013,26/12/13,,,Aston Villa,,Crystal Palace,0,1,A
171,epl,2013,26/12/13,,,Cardiff,,Southampton,0,3,A
172,epl,2013,26/12/13,,,Chelsea,,Swansea,1,0,H
173,epl,2013,26/12/13,,,Everton,,Sunderland,0,1,A
174,epl,2013,26/12/13,,,Hull,,Man United,2,3,A
175,epl,2013,26/12/13,,,Man City,,Liverpool,2,1,H
176,epl,2013,26/12/13,,,Newcastle,,Stoke,5,1,H
177,epl,2013,26/12/13,,,Norwich,,Fulham,1,2,A
178,epl,2013,26/12/13,,,Tottenham,,West Brom,1,1,D
179,epl,2013,26/12/13,,,West Ham,,Arsenal,1,3,A
180,epl,2013,28/12/13,,,Aston Villa,,Swansea,1,1,D
181,epl,2013,28/12/13,,,Cardiff,,Sunderland,2,2,D
182,epl,2013,28/12/13,,,Hull,,Fulham,6,0,H
183,epl,2013,28/12/13,,,Man City,,Crystal Palace,1,0,H
184,epl,2013,28/12/13,,,Norwich,,Man United,0,1,A
185,epl,2013,28/12/13,,,West Ham,,West Brom,3,3,D
186,epl,2013,29/12/13,,,Chelsea,,Liverpool,2,1,H
187,epl,2013,29/12/13,,,Everton,,Southampton,2,1,H
188,epl,2013,29/12/13,,,Newcastle,,Arsenal,0,1,A
189,epl,2013,29/12/13,,,Tottenham,,Stoke,3,0,H
190,epl,2013,01/01/14,,,Arsenal,,Cardiff,2,0,H
191,epl,2013,01/01/14,,,Crystal Palace,,Norwich,1,1,D
192,epl,2013,01/01/14,,,Fulham,,West Ham,2,1,H
193,epl,2013,01/01/14,,,Liverpool,,Hull,2,0,H
194,epl,2013,01/01/14,,,Man United,,Tottenham,1,2,A
195,epl,2013,01/01/14,,,Southampton,,Chelsea,0,3,A
196,epl,2013,01/01/14,,,Stoke,,Everton,1,1,D
197,epl,2013,01/01/14,,,Sunderland,,Aston Villa,0,1,A
198,epl,2013,01/01/14,,,Swansea,,Man City,2,3,A
199,epl,2013,01/01/14,,,West Brom,,Newcastle,1,0,H
200,epl,2013,11/01/14,,,Cardiff,,West Ham,0,2,A
201,epl,2013,11/01/14,,,Everton,,Norwich,2,0,H
202,epl,2013,11/01/14,,,Fulham,,Sunderland,1,4,A
203,epl,2013,11/01/14,,,Hull,,Chelsea,0,2,A
204,epl,2013,11/01/14,,,Man United,,Swansea,2,0,H
205,epl,2013,11/01/14,,,Southampton,,West Brom,1,0,H
206,epl,2013,11/01/14,,,Tottenham,,Crystal Palace,2,0,H
207,epl,2013,12/01/14,,,Newcastle,,Man City,0,2,A
208,epl,2013,12/01/14,,,Stoke,,Liverpool,3,5,A
209,epl,2013,13/01/14,,,Aston Villa,,Arsenal,1,2,A
210,epl,2013,18/01/14,,,Arsenal,,Fulham,2,0,H
211,epl,2013,18/01/14,,,Crystal Palace,,Stoke,1,0,H
212,epl,2013,18/01/14,,,Liverpool,,Aston Villa,2,2,D
213,epl,2013,18/01/14,,,Man City,,Cardiff,4,2,H
214,epl,2013,18/01/14,,,Norwich,,Hull,1,0,H
215,epl,2013,18/01/14,,,Sunderland,,Southampton,2,2,D
216,epl,2013,18/01/14,,,West Ham,,Newcastle,1,3,A
217,epl,2013,19/01/14,,,Chelsea,,Man United,3,1,H
218,epl,2013,19/01/14,,,Swansea,,Tottenham,1,3,A
219,epl,2013,20/01/14,,,West Brom,,Everton,1,1,D
220,epl,2013,28/01/14,,,Crystal Palace,,Hull,1,0,H
221,epl,2013,28/01/14,,,Liverpool,,Everton,4,0,H
222,epl,2013,28/01/14,,,Man United,,Cardiff,2,0,H
223,epl,2013,28/01/14,,,Norwich,,Newcastle,0,0,D
224,epl,2013,28/01/14,,,Southampton,,Arsenal,2,2,D
225,epl,2013,28/01/14,,,Swansea,,Fulham,2,0,H
226,epl,2013,29/01/14,,,Aston Villa,,West Brom,4,3,H
227,epl,2013,29/01/14,,,Chelsea,,West Ham,0,0,D
228,epl,2013,29/01/14,,,Sunderland,,Stoke,1,0,H
229,epl,2013,29/01/14,,,Tottenham,,Man City,1,5,A
230,epl,2013,01/02/14,,,Cardiff,,Norwich,2,1,H
231,epl,2013,01/02/14,,,Everton,,Aston Villa,2,1,H
232,epl,2013,01/02/14,,,Fulham,,Southampton,0,3,A
233,epl,2013,01/02/14,,,Hull,,Tottenham,1,1,D
234,epl,2013,01/02/14,,,Newcastle,,Sunderland,0,3,A
235,epl,2013,01/02/14,,,Stoke,,Man United,2,1,H
236,epl,2013,01/02/14,,,West Ham,,Swansea,2,0,H
237,epl,2013,02/02/14,,,Arsenal,,Crystal Palace,2,0,H
238,epl,2013,02/02/14,,,West Brom,,Liverpool,1,1,D
239,epl,2013,03/02/14,,,Man City,,Chelsea,0,1,A
240,epl,2013,08/02/14,,,Aston Villa,,West Ham,0,2,A
241,epl,2013,08/02/14,,,Chelsea,,Newcastle,3,0,H
242,epl,2013,08/02/14,,,Crystal Palace,,West Brom,3,1,H
243,epl,2013,08/02/14,,,Liverpool,,Arsenal,5,1,H
244,epl,2013,08/02/14,,,Norwich,,Man City,0,0,D
245,epl,2013,08/02/14,,,Southampton,,Stoke,2,2,D
246,epl,2013,08/02/14,,,Sunderland,,Hull,0,2,A
247,epl,2013,08/02/14,,,Swansea,,Cardiff,3,0,H
248,epl,2013,09/02/14,,,Man United,,Fulham,2,2,D
249,epl,2013,09/02/14,,,Tottenham,,Everton,1,0,H
250,epl,2013,11/02/14,,,Cardiff,,Aston Villa,0,0,D
251,epl,2013,11/02/14,,,Hull,,Southampton,0,1,A
252,epl,2013,11/02/14,,,West Brom,,Chelsea,1,1,D
253,epl,2013,11/02/14,,,West Ham,,Norwich,2,0,H
254,epl,2013,12/02/14,,,Arsenal,,Man United,0,0,D
255,epl,2013,12/02/14,,,Fulham,,Liverpool,2,3,A
256,epl,2013,12/02/14,,,Newcastle,,Tottenham,0,4,A
257,epl,2013,12/02/14,,,Stoke,,Swansea,1,1,D
258,epl,2013,22/02/14,,,Arsenal,,Sunderland,4,1,H
259,epl,2013,22/02/14,,,Cardiff,,Hull,0,4,A
260,epl,2013,22/02/14,,,Chelsea,,Everton,1,0,H
261,epl,2013,22/02/14,,,Crystal Palace,,Man United,0,2,A
262,epl,2013,22/02/14,,,Man City,,Stoke,1,0,H
263,epl,2013,22/02/14,,,West Brom,,Fulham,1,1,D
264,epl,2013,22/02/14,,,West Ham,,Southampton,3,1,H
265,epl,2013,23/02/14,,,Liverpool,,Swansea,4,3,H
266,epl,2013,23/02/14,,,Newcastle,,Aston Villa,1,0,H
267,epl,2013,23/02/14,,,Norwich,,Tottenham,1,0,H
268,epl,2013,01/03/14,,,Everton,,West Ham,1,0,H
269,epl,2013,01/03/14,,,Fulham,,Chelsea,1,3,A
270,epl,2013,01/03/14,,,Hull,,Newcastle,1,4,A
271,epl,2013,01/03/14,,,Southampton,,Liverpool,0,3,A
272,epl,2013,01/03/14,,,Stoke,,Arsenal,1,0,H
273,epl,2013,02/03/14,,,Aston Villa,,Norwich,4,1,H
274,epl,2013,02/03/14,,,Swansea,,Crystal Palace,1,1,D
275,epl,2013,02/03/14,,,Tottenham,,Cardiff,1,0,H
276,epl,2013,08/03/14,,,Cardiff,,Fulham,3,1,H
277,epl,2013,08/03/14,,,Chelsea,,Tottenham,4,0,H
278,epl,2013,08/03/14,,,Crystal Palace,,Southampton,0,1,A
279,epl,2013,08/03/14,,,Norwich,,Stoke,1,1,D
280,epl,2013,08/03/14,,,West Brom,,Man United,0,3,A
281,epl,2013,15/03/14,,,Aston Villa,,Chelsea,1,0,H
282,epl,2013,15/03/14,,,Everton,,Cardiff,2,1,H
283,epl,2013,15/03/14,,,Fulham,,Newcastle,1,0,H
284,epl,2013,15/03/14,,,Hull,,Man City,0,2,A
285,epl,2013,15/03/14,,,Southampton,,Norwich,4,2,H
286,epl,2013,15/03/14,,,Stoke,,West Ham,3,1,H
287,epl,2013,15/03/14,,,Sunderland,,Crystal Palace,0,0,D
288,epl,2013,15/03/14,,,Swansea,,West Brom,1,2,A
289,epl,2013,16/03/14,,,Man United,,Liverpool,0,3,A
290,epl,2013,16/03/14,,,Tottenham,,Arsenal,0,1,A
291,epl,2013,22/03/14,,,Cardiff,,Liverpool,3,6,A
292,epl,2013,22/03/14,,,Chelsea,,Arsenal,6,0,H
293,epl,2013,22/03/14,,,Everton,,Swansea,3,2,H
294,epl,2013,22/03/14,,,Hull,,West Brom,2,0,H
295,epl,2013,22/03/14,,,Man City,,Fulham,5,0,H
296,epl,2013,22/03/14,,,Newcastle,,Crystal Palace,1,0,H
297,epl,2013,22/03/14,,,Norwich,,Sunderland,2,0,H
298,epl,2013,22/03/14,,,West Ham,,Man United,0,2,A
299,epl,2013,23/03/14,,,Aston Villa,,Stoke,1,4,A
300,epl,2013,23/03/14,,,Tottenham,,Southampton,3,2,H
301,epl,2013,25/03/14,,,Arsenal,,Swansea,2,2,D
302,epl,2013,25/03/14,,,Man United,,Man City,0,3,A
303,epl,2013,25/03/14,,,Newcastle,,Everton,0,3,A
304,epl,2013,26/03/14,,,Liverpool,,Sunderland,2,1,H
305,epl,2013,26/03/14,,,West Ham,,Hull,2,1,H
306,epl,2013,29/03/14,,,Arsenal,,Man City,1,1,D
307,epl,2013,29/03/14,,,Crystal Palace,,Chelsea,1,0,H
308,epl,2013,29/03/14,,,Man United,,Aston Villa,4,1,H
309,epl,2013,29/03/14,,,Southampton,,Newcastle,4,0,H
310,epl,2013,29/03/14,,,Stoke,,Hull,1,0,H
311,epl,2013,29/03/14,,,Swansea,,Norwich,3,0,H
312,epl,2013,29/03/14,,,West Brom,,Cardiff,3,3,D
313,epl,2013,30/03/14,,,Fulham,,Everton,1,3,A
314,epl,2013,30/03/14,,,Liverpool,,Tottenham,4,0,H
315,epl,2013,31/03/14,,,Sunderland,,West Ham,1,2,A
316,epl,2013,05/04/14,,,Aston Villa,,Fulham,1,2,A
317,epl,2013,05/04/14,,,Cardiff,,Crystal Palace,0,3,A
318,epl,2013,05/04/14,,,Chelsea,,Stoke,3,0,H
319,epl,2013,05/04/14,,,Hull,,Swansea,1,0,H
320,epl,2013,05/04/14,,,Man City,,Southampton,4,1,H
321,epl,2013,05/04/14,,,Newcastle,,Man United,0,4,A
322,epl,2013,05/04/14,,,Norwich,,West Brom,0,1,A
323,epl,2013,06/04/14,,,Everton,,Arsenal,3,0,H
324,epl,2013,06/04/14,,,West Ham,,Liverpool,1,2,A
325,epl,2013,07/04/14,,,Tottenham,,Sunderland,5,1,H
326,epl,2013,12/04/14,,,Crystal Palace,,Aston Villa,1,0,H
327,epl,2013,12/04/14,,,Fulham,,Norwich,1,0,H
328,epl,2013,12/04/14,,,Southampton,,Cardiff,0,1,A
329,epl,2013,12/04/14,,,Stoke,,Newcastle,1,0,H
330,epl,2013,12/04/14,,,Sunderland,,Everton,0,1,A
331,epl,2013,12/04/14,,,West Brom,,Tottenham,3,3,D
332,epl,2013,13/04/14,,,Liverpool,,Man City,3,2,H
333,epl,2013,13/04/14,,,Swansea,,Chelsea,0,1,A
334,epl,2013,15/04/14,,,Arsenal,,West Ham,3,1,H
335,epl,2013,16/04/14,,,Everton,,Crystal Palace,2,3,A
336,epl,2013,16/04/14,,,Man City,,Sunderland,2,2,D
337,epl,2013,19/04/14,,,Aston Villa,,Southampton,0,0,D
338,epl,2013,19/04/14,,,Cardiff,,Stoke,1,1,D
339,epl,2013,19/04/14,,,Chelsea,,Sunderland,1,2,A
340,epl,2013,19/04/14,,,Newcastle,,Swansea,1,2,A
341,epl,2013,19/04/14,,,Tottenham,,Fulham,3,1,H
342,epl,2013,19/04/14,,,West Ham,,Crystal Palace,0,1,A
343,epl,2013,20/04/14,,,Everton,,Man United,2,0,H
344,epl,2013,20/04/14,,,Hull,,Arsenal,0,3,A
345,epl,2013,20/04/14,,,Norwich,,Liverpool,2,3,A
346,epl,2013,21/04/14,,,Man City,,West Brom,3,1,H
347,epl,2013,26/04/14,,,Fulham,,Hull,2,2,D
348,epl,2013,26/04/14,,,Man United,,Norwich,4,0,H
349,epl,2013,26/04/14,,,Southampton,,Everton,2,0,H
350,epl,2013,26/04/14,,,Stoke,,Tottenham,0,1,A
351,epl,2013,26/04/14,,,Swansea,,Aston Villa,4,1,H
352,epl,2013,26/04/14,,,West Brom,,West Ham,1,0,H
353,epl,2013,27/04/14,,,Crystal Palace,,Man City,0,2,A
354,epl,2013,27/04/14,,,Liverpool,,Chelsea,0,2,A
355,epl,2013,27/04/14,,,Sunderland,,Cardiff,4,0,H
356,epl,2013,28/04/14,,,Arsenal,,Newcastle,3,0,H
357,epl,2013,03/05/14,,,Aston Villa,,Hull,3,1,H
358,epl,2013,03/05/14,,,Everton,,Man City,2,3,A
359,epl,2013,03/05/14,,,Man United,,Sunderland,0,1,A
360,epl,2013,03/05/14,,,Newcastle,,Cardiff,3,0,H
361,epl,2013,03/05/14,,,Stoke,,Fulham,4,1,H
362,epl,2013,03/05/14,,,Swansea,,Southampton,0,1,A
363,epl,2013,03/05/14,,,West Ham,,Tottenham,2,0,H
364,epl,2013,04/05/14,,,Arsenal,,West Brom,1,0,H
365,epl,2013,04/05/14,,,Chelsea,,Norwich,0,0,D
366,epl,2013,05/05/14,,,Crystal Palace,,Liverpool,3,3,D
367,epl,2013,06/05/14,,,Man United,,Hull,3,1,H
368,epl,2013,07/05/14,,,Man City,,Aston Villa,4,0,H
369,epl,2013,07/05/14,,,Sunderland,,West Brom,2,0,H
370,epl,2013,11/05/14,,,Cardiff,,Chelsea,1,2,A
371,epl,2013,11/05/14,,,Fulham,,Crystal Palace,2,2,D
372,epl,2013,11/05/14,,,Hull,,Everton,0,2,A
373,epl,2013,11/05/14,,,Liverpool,,Newcastle,2,1,H
374,epl,2013,11/05/14,,,Man City,,West Ham,2,0,H
375,epl,2013,11/05/14,,,Norwich,,Arsenal,0,2,A
376,epl,2013,11/05/14,,,Southampton,,Man United,1,1,D
377,epl,2013,11/05/14,,,Sunderland,,Swansea,1,3,A
378,epl,2013,11/05/14,,,Tottenham,,Aston Villa,3,0,H
379,epl,2013,11/05/14,,,West Brom,,Stoke,1,2,A
380,epl,2014,16/08/14,,,Arsenal,,Crystal Palace,2,1,H
381,epl,2014,16/08/14,,,Leicester,,Everton,2,2,D
382,epl,2014,16/08/14,,,Man United,,Swansea,1,2,A
383,epl,2014,16/08/14,,,QPR,,Hull,0,1,A
384,epl,2014,16/08/14,,,Stoke,,Aston Villa,0,1,A
385,epl,2014,16/08/14,,,West Brom,,Sunderland,2,2,D
386,epl,2014,16/08/14,,,West Ham,,Tottenham,0,1,A
387,epl,2014,17/08/14,,,Liverpool,,Southampton,2,1,H
388,epl,2014,17/08/14,,,Newcastle,,Man City,0,2,A
389,epl,2014,18/08/14,,,Burnley,,Chelsea,1,3,A
390,epl,2014,23/08/14,,,Aston Villa,,Newcastle,0,0,D
391,epl,2014,23/08/14,,,Chelsea,,Leicester,2,0,H
392,epl,2014,23/08/14,,,Crystal Palace,,West Ham,1,3,A
393,epl,2014,23/08/14,,,Everton,,Arsenal,2,2,D
394,epl,2014,23/08/14,,,Southampton,,West Brom,0,0,D
395,epl,2014,23/08/14,,,Swansea,,Burnley,1,0,H
396,epl,2014,24/08/14,,,Hull,,Stoke,1,1,D
397,epl,2014,24/08/14,,,Sunderland,,Man United,1,1,D
398,epl,2014,24/08/14,,,Tottenham,,QPR,4,0,H
399,epl,2014,25/08/14,,,Man City,,Liverpool,3,1,H
400,epl,2014,30/08/14,,,Burnley,,Man United,0,0,D
401,epl,2014,30/08/14,,,Everton,,Chelsea,3,6,A
402,epl,2014,30/08/14,,,Man City,,Stoke,0,1,A
403,epl,2014,30/08/14,,,Newcastle,,Crystal Palace,3,3,D
404,epl,2014,30/08/14,,,QPR,,Sunderland,1,0,H
405,epl,2014,30/08/14,,,Swansea,,West Brom,3,0,H
406,epl,2014,30/08/14,,,West Ham,,Southampton,1,3,A
407,epl,2014,31/08/14,,,Aston Villa,,Hull,2,1,H
408,epl,2014,31/08/14,,,Leicester,,Arsenal,1,1,D
409,epl,2014,31/08/14,,,Tottenham,,Liverpool,0,3,A
410,epl,2014,13/09/14,,,Arsenal,,Man City,2,2,D
