Season,DateTime,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2014-15,2015-02-21T00:00:00Z,21/02/2015,00:00:00,Chelsea,Burnley,1,1,D,1,0,H
2014-15,2015-02-21T00:00:00Z,21/02/2015,00:00:00,Crystal Palace,Arsenal,1,2,A,0,2,A
2014-15,2015-02-21T00:00:00Z,21/02/2015,00:00:00,Hull,QPR,2,1,H,1,1,D
2014-15,2015-02-21T00:00:00Z,21/02/2015,00:00:00,Man City,Newcastle,5,0,H,3,0,H
2014-15,2015-02-21T00:00:00Z,21/02/2015,00:00:00,Sunderland,West Brom,0,0,D,0,0,D
2014-15,2015-02-21T00:00:00Z,21/02/2015,00:00:00,Swansea,Man United,2,1,H,1,1,D
2014-15,2015-02-22T00:00:00Z,22/02/2015,00:00:00,Everton,Leicester,2,2,D,0,0,D
2014-15,2015-02-22T00:00:00Z,22/02/2015,00:00:00,Southampton,Liverpool,0,2,A,0,1,A
2014-15,2015-02-22T00:00:00Z,22/02/2015,00:00:00,Tottenham,West Ham,2,2,D,0,1,A
2014-15,2015-02-28T00:00:00Z,28/02/2015,00:00:00,Burnley,Swansea,0,1,A,0,0,D
2014-15,2015-02-28T00:00:00Z,28/02/2015,00:00:00,Man United,Sunderland,2,0,H,0,0,D
2014-15,2015-02-28T00:00:00Z,28/02/2015,00:00:00,Newcastle,Aston Villa,1,0,H,1,0,H
2014-15,2015-02-28T00:00:00Z,28/02/2015,00:00:00,Stoke,Hull,1,0,H,0,0,D
2014-15,2015-02-28T00:00:00Z,28/02/2015,00:00:00,West Brom,Southampton,1,0,H,1,0,H
2014-15,2015-02-28T00:00:00Z,28/02/2015,00:00:00,West Ham,Crystal Palace,1,3,A,0,1,A
2014-15,2015-03-01T00:00:00Z,01/03/2015,00:00:00,Arsenal,Everton,2,0,H,1,0,H
2014-15,2015-03-01T00:00:00Z,01/03/2015,00:00:00,Liverpool,Man City,2,1,H,1,1,D
2014-15,2015-03-03T00:00:00Z,03/03/2015,00:00:00,Aston Villa,West Brom,2,1,H,1,0,H
2014-15,2015-03-03T00:00:00Z,03/03/2015,00:00:00,Hull,Sunderland,1,1,D,1,0,H
2014-15,2015-03-03T00:00:00Z,03/03/2015,00:00:00,Southampton,Crystal Palace,1,0,H,0,0,D
2014-15,2015-03-04T00:00:00Z,04/03/2015,00:00:00,Liverpool,Burnley,2,0,H,1,0,H
2014-15,2015-03-04T00:00:00Z,04/03/2015,00:00:00,Man City,Leicester,2,0,H,1,0,H
2014-15,2015-03-04T00:00:00Z,04/03/2015,00:00:00,Newcastle,Man United,0,1,A,0,0,D
2014-15,2015-03-04T00:00:00Z,04/03/2015,00:00:00,QPR,Arsenal,1,2,A,0,0,D
2014-15,2015-03-04T00:00:00Z,04/03/2015,00:00:00,Stoke,Everton,2,0,H,1,0,H
2014-15,2015-03-04T00:00:00Z,04/03/2015,00:00:00,Tottenham,Swansea,3,2,H,1,1,D
2014-15,2015-03-04T00:00:00Z,04/03/2015,00:00:00,West Ham,Chelsea,0,1,A,0,1,A
2014-15,2015-03-07T00:00:00Z,07/03/2015,00:00:00,QPR,Tottenham,1,2,A,0,1,A
2014-15,2015-03-14T00:00:00Z,14/03/2015,00:00:00,Arsenal,West Ham,3,0,H,1,0,H
2014-15,2015-03-14T00:00:00Z,14/03/2015,00:00:00,Burnley,Man City,1,0,H,0,0,D
2014-15,2015-03-14T00:00:00Z,14/03/2015,00:00:00,Crystal Palace,QPR,3,1,H,3,0,H
2014-15,2015-03-14T00:00:00Z,14/03/2015,00:00:00,Leicester,Hull,0,0,D,0,0,D
2014-15,2015-03-14T00:00:00Z,14/03/2015,00:00:00,Sunderland,Aston Villa,0,4,A,0,4,A
2014-15,2015-03-14T00:00:00Z,14/03/2015,00:00:00,West Brom,Stoke,1,0,H,1,0,H
2014-15,2015-03-15T00:00:00Z,15/03/2015,00:00:00,Chelsea,Southampton,1,1,D,1,1,D
2014-15,2015-03-15T00:00:00Z,15/03/2015,00:00:00,Everton,Newcastle,3,0,H,1,0,H
2014-15,2015-03-15T00:00:00Z,15/03/2015,00:00:00,Man United,Tottenham,3,0,H,3,0,H
2014-15,2015-03-16T00:00:00Z,16/03/2015,00:00:00,Swansea,Liverpool,0,1,A,0,0,D
2014-15,2015-03-21T00:00:00Z,21/03/2015,00:00:00,Aston Villa,Swansea,0,1,A,0,0,D
2014-15,2015-03-21T00:00:00Z,21/03/2015,00:00:00,Man City,West Brom,3,0,H,2,0,H
2014-15,2015-03-21T00:00:00Z,21/03/2015,00:00:00,Newcastle,Arsenal,1,2,A,0,2,A
2014-15,2015-03-21T00:00:00Z,21/03/2015,00:00:00,Southampton,Burnley,2,0,H,1,0,H
2014-15,2015-03-21T00:00:00Z,21/03/2015,00:00:00,Stoke,Crystal Palace,1,2,A,1,2,A
2014-15,2015-03-21T00:00:00Z,21/03/2015,00:00:00,Tottenham,Leicester,4,3,H,2,1,H
2014-15,2015-03-21T00:00:00Z,21/03/2015,00:00:00,West Ham,Sunderland,1,0,H,0,0,D
2014-15,2015-03-22T00:00:00Z,22/03/2015,00:00:00,Hull,Chelsea,2,3,A,2,2,D
2014-15,2015-03-22T00:00:00Z,22/03/2015,00:00:00,Liverpool,Man United,1,2,A,0,1,A
2014-15,2015-03-22T00:00:00Z,22/03/2015,00:00:00,QPR,Everton,1,2,A,0,1,A
2014-15,2015-04-04T00:00:00Z,04/04/2015,00:00:00,Arsenal,Liverpool,4,1,H,3,0,H
2014-15,2015-04-04T00:00:00Z,04/04/2015,00:00:00,Chelsea,Stoke,2,1,H,1,1,D
2014-15,2015-04-04T00:00:00Z,04/04/2015,00:00:00,Everton,Southampton,1,0,H,1,0,H
2014-15,2015-04-04T00:00:00Z,04/04/2015,00:00:00,Leicester,West Ham,2,1,H,1,1,D
2014-15,2015-04-04T00:00:00Z,04/04/2015,00:00:00,Man United,Aston Villa,3,1,H,1,0,H
2014-15,2015-04-04T00:00:00Z,04/04/2015,00:00:00,Swansea,Hull,3,1,H,2,0,H
2014-15,2015-04-04T00:00:00Z,04/04/2015,00:00:00,West Brom,QPR,1,4,A,0,3,A
2014-15,2015-04-05T00:00:00Z,05/04/2015,00:00:00,Burnley,Tottenham,0,0,D,0,0,D
2014-15,2015-04-05T00:00:00Z,05/04/2015,00:00:00,Sunderland,Newcastle,1,0,H,1,0,H
2014-15,2015-04-06T00:00:00Z,06/04/2015,00:00:00,Crystal Palace,Man City,2,1,H,1,0,H
2014-15,2015-04-07T00:00:00Z,07/04/2015,00:00:00,Aston Villa,QPR,3,3,D,2,1,H
2014-15,2015-04-11T00:00:00Z,11/04/2015,00:00:00,Burnley,Arsenal,0,1,A,0,1,A
2014-15,2015-04-11T00:00:00Z,11/04/2015,00:00:00,Southampton,Hull,2,0,H,0,0,D
2014-15,2015-04-11T00:00:00Z,11/04/2015,00:00:00,Sunderland,Crystal Palace,1,4,A,0,0,D
2014-15,2015-04-11T00:00:00Z,11/04/2015,00:00:00,Swansea,Everton,1,1,D,0,1,A
2014-15,2015-04-11T00:00:00Z,11/04/2015,00:00:00,Tottenham,Aston Villa,0,1,A,0,1,A
2014-15,2015-04-11T00:00:00Z,11/04/2015,00:00:00,West Brom,Leicester,2,3,A,2,1,H
2014-15,2015-04-11T00:00:00Z,11/04/2015,00:00:00,West Ham,Stoke,1,1,D,1,0,H
2014-15,2015-04-12T00:00:00Z,12/04/2015,00:00:00,Man United,Man City,4,2,H,2,1,H
2014-15,2015-04-12T00:00:00Z,12/04/2015,00:00:00,QPR,Chelsea,0,1,A,0,0,D
2014-15,2015-04-13T00:00:00Z,13/04/2015,00:00:00,Liverpool,Newcastle,2,0,H,1,0,H
2014-15,2015-04-18T00:00:00Z,18/04/2015,00:00:00,Chelsea,Man United,1,0,H,1,0,H
2014-15,2015-04-18T00:00:00Z,18/04/2015,00:00:00,Crystal Palace,West Brom,0,2,A,0,1,A
2014-15,2015-04-18T00:00:00Z,18/04/2015,00:00:00,Everton,Burnley,1,0,H,1,0,H
2014-15,2015-04-18T00:00:00Z,18/04/2015,00:00:00,Leicester,Swansea,2,0,H,1,0,H
2014-15,2015-04-18T00:00:00Z,18/04/2015,00:00:00,Stoke,Southampton,2,1,H,0,1,A
2014-15,2015-04-19T00:00:00Z,19/04/2015,00:00:00,Man City,West Ham,2,0,H,2,0,H
2014-15,2015-04-19T00:00:00Z,19/04/2015,00:00:00,Newcastle,Tottenham,1,3,A,0,1,A
2014-15,2015-04-25T00:00:00Z,25/04/2015,00:00:00,Burnley,Leicester,0,1,A,0,0,D
2014-15,2015-04-25T00:00:00Z,25/04/2015,00:00:00,Crystal Palace,Hull,0,2,A,0,0,D
2014-15,2015-04-25T00:00:00Z,25/04/2015,00:00:00,Man City,Aston Villa,3,2,H,1,0,H
2014-15,2015-04-25T00:00:00Z,25/04/2015,00:00:00,Newcastle,Swansea,2,3,A,1,1,D
2014-15,2015-04-25T00:00:00Z,25/04/2015,00:00:00,QPR,West Ham,0,0,D,0,0,D
2014-15,2015-04-25T00:00:00Z,25/04/2015,00:00:00,Southampton,Tottenham,2,2,D,1,1,D
2014-15,2015-04-25T00:00:00Z,25/04/2015,00:00:00,Stoke,Sunderland,1,1,D,1,1,D
2014-15,2015-04-25T00:00:00Z,25/04/2015,00:00:00,West Brom,Liverpool,0,0,D,0,0,D
2014-15,2015-04-26T00:00:00Z,26/04/2015,00:00:00,Arsenal,Chelsea,0,0,D,0,0,D
2014-15,2015-04-26T00:00:00Z,26/04/2015,00:00:00,Everton,Man United,3,0,H,2,0,H
2014-15,2015-04-28T00:00:00Z,28/04/2015,00:00:00,Hull,Liverpool,1,0,H,1,0,H
2014-15,2015-04-29T00:00:00Z,29/04/2015,00:00:00,Leicester,Chelsea,1,3,A,1,0,H
2014-15,2015-05-02T00:00:00Z,02/05/2015,00:00:00,Aston Villa,Everton,3,2,H,2,0,H
2014-15,2015-05-02T00:00:00Z,02/05/2015,00:00:00,Leicester,Newcastle,3,0,H,2,0,H
2014-15,2015-05-02T00:00:00Z,02/05/2015,00:00:00,Liverpool,QPR,2,1,H,1,0,H
2014-15,2015-05-02T00:00:00Z,02/05/2015,00:00:00,Man United,West Brom,0,1,A,0,0,D
2014-15,2015-05-02T00:00:00Z,02/05/2015,00:00:00,Sunderland,Southampton,2,1,H,1,1,D
2014-15,2015-05-02T00:00:00Z,02/05/2015,00:00:00,Swansea,Stoke,2,0,H,0,0,D
2014-15,2015-05-02T00:00:00Z,02/05/2015,00:00:00,West Ham,Burnley,1,0,H,1,0,H
2014-15,2015-05-03T00:00:00Z,03/05/2015,00:00:00,Chelsea,Crystal Palace,1,0,H,1,0,H
2014-15,2015-05-03T00:00:00Z,03/05/2015,00:00:00,Tottenham,Man City,0,1,A,0,1,A
2014-15,2015-05-04T00:00:00Z,04/05/2015,00:00:00,Hull,Arsenal,1,3,A,0,3,A
2014-15,2015-05-09T00:00:00Z,09/05/2015,00:00:00,Aston Villa,West Ham,1,0,H,1,0,H
2014-15,2015-05-09T00:00:00Z,09/05/2015,00:00:00,Crystal Palace,Man United,1,2,A,0,1,A
2014-15,2015-05-09T00:00:00Z,09/05/2015,00:00:00,Everton,Sunderland,0,2,A,0,0,D
2014-15,2015-05-09T00:00:00Z,09/05/2015,00:00:00,Hull,Burnley,0,1,A,0,0,D
2014-15,2015-05-09T00:00:00Z,09/05/2015,00:00:00,Leicester,Southampton,2,0,H,2,0,H
2014-15,2015-05-09T00:00:00Z,09/05/2015,00:00:00,Newcastle,West Brom,1,1,D,1,1,D
2014-15,2015-05-09T00:00:00Z,09/05/2015,00:00:00,Stoke,Tottenham,3,0,H,2,0,H
2014-15,2015-05-10T00:00:00Z,10/05/2015,00:00:00,Chelsea,Liverpool,1,1,D,1,1,D
2014-15,2015-05-10T00:00:00Z,10/05/2015,00:00:00,Man City,QPR,6,0,H,2,0,H
2014-15,2015-05-11T00:00:00Z,11/05/2015,00:00:00,Arsenal,Swansea,0,1,A,0,0,D
2014-15,2015-05-16T00:00:00Z,16/05/2015,00:00:00,Burnley,Stoke,0,0,D,0,0,D
2014-15,2015-05-16T00:00:00Z,16/05/2015,00:00:00,Liverpool,Crystal Palace,1,3,A,1,1,D
2014-15,2015-05-16T00:00:00Z,16/05/2015,00:00:00,QPR,Newcastle,2,1,H,0,1,A
2014-15,2015-05-16T00:00:00Z,16/05/2015,00:00:00,Southampton,Aston Villa,6,1,H,5,1,H
2014-15,2015-05-16T00:00:00Z,16/05/2015,00:00:00,Sunderland,Leicester,0,0,D,0,0,D
2014-15,2015-05-16T00:00:00Z,16/05/2015,00:00:00,Tottenham,Hull,2,0,H,0,0,D
2014-15,2015-05-16T00:00:00Z,16/05/2015,00:00:00,West Ham,Everton,1,2,A,0,0,D
2014-15,2015-05-17T00:00:00Z,17/05/2015,00:00:00,Man United,Arsenal,1,1,D,1,0,H
2014-15,2015-05-17T00:00:00Z,17/05/2015,00:00:00,Swansea,Man City,2,4,A,1,2,A
2014-15,2015-05-18T00:00:00Z,18/05/2015,00:00:00,West Brom,Chelsea,3,0,H,1,0,H
2014-15,2015-05-20T00:00:00Z,20/05/2015,00:00:00,Arsenal,Sunderland,0,0,D,0,0,D
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Arsenal,West Brom,4,1,H,4,0,H
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Aston Villa,Burnley,0,1,A,0,1,A
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Chelsea,Sunderland,3,1,H,1,1,D
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Crystal Palace,Swansea,1,0,H,0,0,D
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Everton,Tottenham,0,1,A,0,1,A
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Hull,Man United,0,0,D,0,0,D
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Leicester,QPR,5,1,H,2,0,H
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Man City,Southampton,2,0,H,1,0,H
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Newcastle,West Ham,2,0,H,0,0,D
2014-15,2015-05-24T00:00:00Z,24/05/2015,00:00:00,Stoke,Liverpool,6,1,H,5,0,H
2015-16,2015-08-08T00:00:00Z,08/08/2015,00:00:00,Bournemouth,Aston Villa,0,1,A,0,0,D
2015-16,2015-08-08T00:00:00Z,08/08/2015,00:00:00,Chelsea,Swansea,2,2,D,2,1,H
2015-16,2015-08-08T00:00:00Z,08/08/2015,00:00:00,Everton,Watford,2,2,D,0,1,A
2015-16,2015-08-08T00:00:00Z,08/08/2015,00:00:00,Leicester,Sunderland,4,2,H,3,0,H
2015-16,2015-08-08T00:00:00Z,08/08/2015,00:00:00,Man United,Tottenham,1,0,H,1,0,H
2015-16,2015-08-08T00:00:00Z,08/08/2015,00:00:00,Norwich,Crystal Palace,1,3,A,0,1,A
2015-16,2015-08-09T00:00:00Z,09/08/2015,00:00:00,Arsenal,West Ham,0,2,A,0,1,A
2015-16,2015-08-09T00:00:00Z,09/08/2015,00:00:00,Newcastle,Southampton,2,2,D,1,1,D
2015-16,2015-08-09T00:00:00Z,09/08/2015,00:00:00,Stoke,Liverpool,0,1,A,0,0,D
2015-16,2015-08-10T00:00:00Z,10/08/2015,00:00:00,West Brom,Man City,0,3,A,0,2,A
2015-16,2015-08-14T00:00:00Z,14/08/2015,00:00:00,Aston Villa,Man United,0,1,A,0,1,A
2015-16,2015-08-15T00:00:00Z,15/08/2015,00:00:00,Southampton,Everton,0,3,A,0,2,A
2015-16,2015-08-15T00:00:00Z,15/08/2015,00:00:00,Sunderland,Norwich,1,3,A,0,2,A
2015-16,2015-08-15T00:00:00Z,15/08/2015,00:00:00,Swansea,Newcastle,2,0,H,1,0,H
2015-16,2015-08-15T00:00:00Z,15/08/2015,00:00:00,Tottenham,Stoke,2,2,D,2,0,H
2015-16,2015-08-15T00:00:00Z,15/08/2015,00:00:00,Watford,West Brom,0,0,D,0,0,D
2015-16,2015-08-15T00:00:00Z,15/08/2015,00:00:00,West Ham,Leicester,1,2,A,0,2,A
2015-16,2015-08-16T00:00:00Z,16/08/2015,00:00:00,Crystal Palace,Arsenal,1,2,A,1,1,D
2015-16,2015-08-16T00:00:00Z,16/08/2015,00:00:00,Man City,Chelsea,3,0,H,1,0,H
2015-16,2015-08-17T00:00:00Z,17/08/2015,00:00:00,Liverpool,Bournemouth,1,0,H,1,0,H
2015-16,2015-08-22T00:00:00Z,22/08/2015,00:00:00,Crystal Palace,Aston Villa,2,1,H,0,0,D
2015-16,2015-08-22T00:00:00Z,22/08/2015,00:00:00,Leicester,Tottenham,1,1,D,0,0,D
2015-16,2015-08-22T00:00:00Z,22/08/2015,00:00:00,Man United,Newcastle,0,0,D,0,0,D
2015-16,2015-08-22T00:00:00Z,22/08/2015,00:00:00,Norwich,Stoke,1,1,D,1,1,D
2015-16,2015-08-22T00:00:00Z,22/08/2015,00:00:00,Sunderland,Swansea,1,1,D,0,1,A
2015-16,2015-08-22T00:00:00Z,22/08/2015,00:00:00,West Ham,Bournemouth,3,4,A,0,2,A
2015-16,2015-08-23T00:00:00Z,23/08/2015,00:00:00,Everton,Man City,0,2,A,0,0,D
2015-16,2015-08-23T00:00:00Z,23/08/2015,00:00:00,Watford,Southampton,0,0,D,0,0,D
2015-16,2015-08-23T00:00:00Z,23/08/2015,00:00:00,West Brom,Chelsea,2,3,A,1,3,A
2015-16,2015-08-24T00:00:00Z,24/08/2015,00:00:00,Arsenal,Liverpool,0,0,D,0,0,D
2015-16,2015-08-29T00:00:00Z,29/08/2015,00:00:00,Aston Villa,Sunderland,2,2,D,2,1,H
2015-16,2015-08-29T00:00:00Z,29/08/2015,00:00:00,Bournemouth,Leicester,1,1,D,1,0,H
2015-16,2015-08-29T00:00:00Z,29/08/2015,00:00:00,Chelsea,Crystal Palace,1,2,A,0,0,D
2015-16,2015-08-29T00:00:00Z,29/08/2015,00:00:00,Liverpool,West Ham,0,3,A,0,2,A
2015-16,2015-08-29T00:00:00Z,29/08/2015,00:00:00,Man City,Watford,2,0,H,0,0,D
2015-16,2015-08-29T00:00:00Z,29/08/2015,00:00:00,Newcastle,Arsenal,0,1,A,0,0,D
2015-16,2015-08-29T00:00:00Z,29/08/2015,00:00:00,Stoke,West Brom,0,1,A,0,1,A
2015-16,2015-08-29T00:00:00Z,29/08/2015,00:00:00,Tottenham,Everton,0,0,D,0,0,D
2015-16,2015-08-30T00:00:00Z,30/08/2015,00:00:00,Southampton,Norwich,3,0,H,1,0,H
2015-16,2015-08-30T00:00:00Z,30/08/2015,00:00:00,Swansea,Man United,2,1,H,0,0,D
2015-16,2015-09-12T00:00:00Z,12/09/2015,00:00:00,Arsenal,Stoke,2,0,H,1,0,H
2015-16,2015-09-12T00:00:00Z,12/09/2015,00:00:00,Crystal Palace,Man City,0,1,A,0,0,D
2015-16,2015-09-12T00:00:00Z,12/09/2015,00:00:00,Everton,Chelsea,3,1,H,2,1,H
2015-16,2015-09-12T00:00:00Z,12/09/2015,00:00:00,Man United,Liverpool,3,1,H,0,0,D
2015-16,2015-09-12T00:00:00Z,12/09/2015,00:00:00,Norwich,Bournemouth,3,1,H,1,0,H
2015-16,2015-09-12T00:00:00Z,12/09/2015,00:00:00,Watford,Swansea,1,0,H,0,0,D
2015-16,2015-09-12T00:00:00Z,12/09/2015,00:00:00,West Brom,Southampton,0,0,D,0,0,D
2015-16,2015-09-13T00:00:00Z,13/09/2015,00:00:00,Leicester,Aston Villa,3,2,H,0,1,A
2015-16,2015-09-13T00:00:00Z,13/09/2015,00:00:00,Sunderland,Tottenham,0,1,A,0,0,D
2015-16,2015-09-14T00:00:00Z,14/09/2015,00:00:00,West Ham,Newcastle,2,0,H,1,0,H
2015-16,2015-09-19T00:00:00Z,19/09/2015,00:00:00,Aston Villa,West Brom,0,1,A,0,1,A
2015-16,2015-09-19T00:00:00Z,19/09/2015,00:00:00,Bournemouth,Sunderland,2,0,H,2,0,H
2015-16,2015-09-19T00:00:00Z,19/09/2015,00:00:00,Chelsea,Arsenal,2,0,H,0,0,D
2015-16,2015-09-19T00:00:00Z,19/09/2015,00:00:00,Man City,West Ham,1,2,A,1,2,A
2015-16,2015-09-19T00:00:00Z,19/09/2015,00:00:00,Newcastle,Watford,1,2,A,0,2,A
2015-16,2015-09-19T00:00:00Z,19/09/2015,00:00:00,Stoke,Leicester,2,2,D,2,0,H
2015-16,2015-09-19T00:00:00Z,19/09/2015,00:00:00,Swansea,Everton,0,0,D,0,0,D
2015-16,2015-09-20T00:00:00Z,20/09/2015,00:00:00,Liverpool,Norwich,1,1,D,0,0,D
2015-16,2015-09-20T00:00:00Z,20/09/2015,00:00:00,Southampton,Man United,2,3,A,1,1,D
2015-16,2015-09-20T00:00:00Z,20/09/2015,00:00:00,Tottenham,Crystal Palace,1,0,H,0,0,D
2015-16,2015-09-26T00:00:00Z,26/09/2015,00:00:00,Leicester,Arsenal,2,5,A,1,2,A
2015-16,2015-09-26T00:00:00Z,26/09/2015,00:00:00,Liverpool,Aston Villa,3,2,H,1,0,H
2015-16,2015-09-26T00:00:00Z,26/09/2015,00:00:00,Man United,Sunderland,3,0,H,1,0,H
2015-16,2015-09-26T00:00:00Z,26/09/2015,00:00:00,Newcastle,Chelsea,2,2,D,1,0,H
2015-16,2015-09-26T00:00:00Z,26/09/2015,00:00:00,Southampton,Swansea,3,1,H,1,0,H
2015-16,2015-09-26T00:00:00Z,26/09/2015,00:00:00,Stoke,Bournemouth,2,1,H,1,0,H
2015-16,2015-09-26T00:00:00Z,26/09/2015,00:00:00,Tottenham,Man City,4,1,H,1,1,D
2015-16,2015-09-26T00:00:00Z,26/09/2015,00:00:00,West Ham,Norwich,2,2,D,1,1,D
2015-16,2015-09-27T00:00:00Z,27/09/2015,00:00:00,Watford,Crystal Palace,0,1,A,0,0,D
2015-16,2015-09-28T00:00:00Z,28/09/2015,00:00:00,West Brom,Everton,2,3,A,1,0,H
2015-16,2015-10-03T00:00:00Z,03/10/2015,00:00:00,Aston Villa,Stoke,0,1,A,0,0,D
2015-16,2015-10-03T00:00:00Z,03/10/2015,00:00:00,Bournemouth,Watford,1,1,D,1,1,D
2015-16,2015-10-03T00:00:00Z,03/10/2015,00:00:00,Chelsea,Southampton,1,3,A,1,1,D
2015-16,2015-10-03T00:00:00Z,03/10/2015,00:00:00,Crystal Palace,West Brom,2,0,H,0,0,D
2015-16,2015-10-03T00:00:00Z,03/10/2015,00:00:00,Man City,Newcastle,6,1,H,1,1,D
2015-16,2015-10-03T00:00:00Z,03/10/2015,00:00:00,Norwich,Leicester,1,2,A,0,1,A
2015-16,2015-10-03T00:00:00Z,03/10/2015,00:00:00,Sunderland,West Ham,2,2,D,2,1,H
2015-16,2015-10-04T00:00:00Z,04/10/2015,00:00:00,Arsenal,Man United,3,0,H,3,0,H
2015-16,2015-10-04T00:00:00Z,04/10/2015,00:00:00,Everton,Liverpool,1,1,D,1,1,D
2015-16,2015-10-04T00:00:00Z,04/10/2015,00:00:00,Swansea,Tottenham,2,2,D,2,1,H
2015-16,2015-10-17T00:00:00Z,17/10/2015,00:00:00,Chelsea,Aston Villa,2,0,H,1,0,H
2015-16,2015-10-17T00:00:00Z,17/10/2015,00:00:00,Crystal Palace,West Ham,1,3,A,1,1,D
2015-16,2015-10-17T00:00:00Z,17/10/2015,00:00:00,Everton,Man United,0,3,A,0,2,A
2015-16,2015-10-17T00:00:00Z,17/10/2015,00:00:00,Man City,Bournemouth,5,1,H,4,1,H
2015-16,2015-10-17T00:00:00Z,17/10/2015,00:00:00,Southampton,Leicester,2,2,D,2,0,H
2015-16,2015-10-17T00:00:00Z,17/10/2015,00:00:00,Tottenham,Liverpool,0,0,D,0,0,D
2015-16,2015-10-17T00:00:00Z,17/10/2015,00:00:00,Watford,Arsenal,0,3,A,0,0,D
2015-16,2015-10-17T00:00:00Z,17/10/2015,00:00:00,West Brom,Sunderland,1,0,H,0,0,D
2015-16,2015-10-18T00:00:00Z,18/10/2015,00:00:00,Newcastle,Norwich,6,2,H,3,2,H
2015-16,2015-10-19T00:00:00Z,19/10/2015,00:00:00,Swansea,Stoke,0,1,A,0,1,A
2015-16,2015-10-24T00:00:00Z,24/10/2015,00:00:00,Arsenal,Everton,2,1,H,2,1,H
2015-16,2015-10-24T00:00:00Z,24/10/2015,00:00:00,Aston Villa,Swansea,1,2,A,0,0,D
2015-16,2015-10-24T00:00:00Z,24/10/2015,00:00:00,Leicester,Crystal Palace,1,0,H,0,0,D
2015-16,2015-10-24T00:00:00Z,24/10/2015,00:00:00,Norwich,West Brom,0,1,A,0,0,D
2015-16,2015-10-24T00:00:00Z,24/10/2015,00:00:00,Stoke,Watford,0,2,A,0,1,A
2015-16,2015-10-24T00:00:00Z,24/10/2015,00:00:00,West Ham,Chelsea,2,1,H,1,0,H
2015-16,2015-10-25T00:00:00Z,25/10/2015,00:00:00,Bournemouth,Tottenham,1,5,A,1,3,A
2015-16,2015-10-25T00:00:00Z,25/10/2015,00:00:00,Liverpool,Southampton,1,1,D,0,0,D
2015-16,2015-10-25T00:00:00Z,25/10/2015,00:00:00,Man United,Man City,0,0,D,0,0,D
2015-16,2015-10-25T00:00:00Z,25/10/2015,00:00:00,Sunderland,Newcastle,3,0,H,1,0,H
2015-16,2015-10-31T00:00:00Z,31/10/2015,00:00:00,Chelsea,Liverpool,1,3,A,1,1,D
2015-16,2015-10-31T00:00:00Z,31/10/2015,00:00:00,Crystal Palace,Man United,0,0,D,0,0,D
2015-16,2015-10-31T00:00:00Z,31/10/2015,00:00:00,Man City,Norwich,2,1,H,0,0,D
2015-16,2015-10-31T00:00:00Z,31/10/2015,00:00:00,Newcastle,Stoke,0,0,D,0,0,D
2015-16,2015-10-31T00:00:00Z,31/10/2015,00:00:00,Swansea,Arsenal,0,3,A,0,0,D
2015-16,2015-10-31T00:00:00Z,31/10/2015,00:00:00,Watford,West Ham,2,0,H,1,0,H
2015-16,2015-10-31T00:00:00Z,31/10/2015,00:00:00,West Brom,Leicester,2,3,A,1,0,H
2015-16,2015-11-01T00:00:00Z,01/11/2015,00:00:00,Everton,Sunderland,6,2,H,2,1,H
2015-16,2015-11-01T00:00:00Z,01/11/2015,00:00:00,Southampton,Bournemouth,2,0,H,2,0,H
2015-16,2015-11-02T00:00:00Z,02/11/2015,00:00:00,Tottenham,Aston Villa,3,1,H,2,0,H
2015-16,2015-11-07T00:00:00Z,07/11/2015,00:00:00,Bournemouth,Newcastle,0,1,A,0,1,A
2015-16,2015-11-07T00:00:00Z,07/11/2015,00:00:00,Leicester,Watford,2,1,H,0,0,D
2015-16,2015-11-07T00:00:00Z,07/11/2015,00:00:00,Man United,West Brom,2,0,H,0,0,D
2015-16,2015-11-07T00:00:00Z,07/11/2015,00:00:00,Norwich,Swansea,1,0,H,0,0,D
2015-16,2015-11-07T00:00:00Z,07/11/2015,00:00:00,Stoke,Chelsea,1,0,H,0,0,D
2015-16,2015-11-07T00:00:00Z,07/11/2015,00:00:00,Sunderland,Southampton,0,1,A,0,0,D
2015-16,2015-11-07T00:00:00Z,07/11/2015,00:00:00,West Ham,Everton,1,1,D,1,1,D
2015-16,2015-11-08T00:00:00Z,08/11/2015,00:00:00,Arsenal,Tottenham,1,1,D,0,1,A
2015-16,2015-11-08T00:00:00Z,08/11/2015,00:00:00,Aston Villa,Man City,0,0,D,0,0,D
2015-16,2015-11-08T00:00:00Z,08/11/2015,00:00:00,Liverpool,Crystal Palace,1,2,A,1,1,D
2015-16,2015-11-21T00:00:00Z,21/11/2015,00:00:00,Chelsea,Norwich,1,0,H,0,0,D
