Season,DateTime,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2013-14,2013-09-28T00:00:00Z,28/09/2013,00:00:00,Tottenham,Chelsea,1,1,D,1,0,H
2013-14,2013-09-29T00:00:00Z,29/09/2013,00:00:00,Stoke,Norwich,0,1,A,0,1,A
2013-14,2013-09-29T00:00:00Z,29/09/2013,00:00:00,Sunderland,Liverpool,1,3,A,0,2,A
2013-14,2013-09-30T00:00:00Z,30/09/2013,00:00:00,Everton,Newcastle,3,2,H,3,0,H
2013-14,2013-10-05T00:00:00Z,05/10/2013,00:00:00,Cardiff,Newcastle,1,2,A,0,2,A
2013-14,2013-10-05T00:00:00Z,05/10/2013,00:00:00,Fulham,Stoke,1,0,H,0,0,D
2013-14,2013-10-05T00:00:00Z,05/10/2013,00:00:00,Hull,Aston Villa,0,0,D,0,0,D
2013-14,2013-10-05T00:00:00Z,05/10/2013,00:00:00,Liverpool,Crystal Palace,3,1,H,3,0,H
2013-14,2013-10-05T00:00:00Z,05/10/2013,00:00:00,Man City,Everton,3,1,H,2,1,H
2013-14,2013-10-05T00:00:00Z,05/10/2013,00:00:00,Sunderland,Man United,1,2,A,1,0,H
2013-14,2013-10-06T00:00:00Z,06/10/2013,00:00:00,Norwich,Chelsea,1,3,A,0,1,A
2013-14,2013-10-06T00:00:00Z,06/10/2013,00:00:00,Southampton,Swansea,2,0,H,1,0,H
2013-14,2013-10-06T00:00:00Z,06/10/2013,00:00:00,Tottenham,West Ham,0,3,A,0,0,D
2013-14,2013-10-06T00:00:00Z,06/10/2013,00:00:00,West Brom,Arsenal,1,1,D,1,0,H
2013-14,2013-10-19T00:00:00Z,19/10/2013,00:00:00,Arsenal,Norwich,4,1,H,1,0,H
2013-14,2013-10-19T00:00:00Z,19/10/2013,00:00:00,Chelsea,Cardiff,4,1,H,1,1,D
2013-14,2013-10-19T00:00:00Z,19/10/2013,00:00:00,Everton,Hull,2,1,H,1,1,D
2013-14,2013-10-19T00:00:00Z,19/10/2013,00:00:00,Man United,Southampton,1,1,D,1,0,H
2013-14,2013-10-19T00:00:00Z,19/10/2013,00:00:00,Newcastle,Liverpool,2,2,D,1,1,D
2013-14,2013-10-19T00:00:00Z,19/10/2013,00:00:00,Stoke,West Brom,0,0,D,0,0,D
2013-14,2013-10-19T00:00:00Z,19/10/2013,00:00:00,Swansea,Sunderland,4,0,H,0,0,D
2013-14,2013-10-19T00:00:00Z,19/10/2013,00:00:00,West Ham,Man City,1,3,A,0,1,A
2013-14,2013-10-20T00:00:00Z,20/10/2013,00:00:00,Aston Villa,Tottenham,0,2,A,0,1,A
2013-14,2013-10-21T00:00:00Z,21/10/2013,00:00:00,Crystal Palace,Fulham,1,4,A,1,2,A
2013-14,2013-10-26T00:00:00Z,26/10/2013,00:00:00,Aston Villa,Everton,0,2,A,0,0,D
2013-14,2013-10-26T00:00:00Z,26/10/2013,00:00:00,Crystal Palace,Arsenal,0,2,A,0,0,D
2013-14,2013-10-26T00:00:00Z,26/10/2013,00:00:00,Liverpool,West Brom,4,1,H,2,0,H
2013-14,2013-10-26T00:00:00Z,26/10/2013,00:00:00,Man United,Stoke,3,2,H,1,2,A
2013-14,2013-10-26T00:00:00Z,26/10/2013,00:00:00,Norwich,Cardiff,0,0,D,0,0,D
2013-14,2013-10-26T00:00:00Z,26/10/2013,00:00:00,Southampton,Fulham,2,0,H,2,0,H
2013-14,2013-10-27T00:00:00Z,27/10/2013,00:00:00,Chelsea,Man City,2,1,H,1,0,H
2013-14,2013-10-27T00:00:00Z,27/10/2013,00:00:00,Sunderland,Newcastle,2,1,H,1,0,H
2013-14,2013-10-27T00:00:00Z,27/10/2013,00:00:00,Swansea,West Ham,0,0,D,0,0,D
2013-14,2013-10-27T00:00:00Z,27/10/2013,00:00:00,Tottenham,Hull,1,0,H,0,0,D
2013-14,2013-11-02T00:00:00Z,02/11/2013,00:00:00,Arsenal,Liverpool,2,0,H,1,0,H
