League,Year,Code,Team,Standing,Played,Wins,Losses,Draws,Points
nba,2020,TOR,Toronto Raptors,24,72,27,45,0,0
nba,2020,MIN,Minnesota Timberwolves,25,72,23,49,0,0
nba,2020,CLE,Cleveland Cavaliers,26,72,22,50,0,0
nba,2020,OKC,Oklahoma City Thunder,27,72,22,50,0,0
nba,2020,ORL,Orlando Magic,28,72,21,51,0,0
nba,2020,DET,Detroit Pistons,29,72,20,52,0,0
nba,2020,HOU,Houston Rockets,30,72,17,55,0,0
nba,2021,PHX,Phoenix Suns,1,82,64,18,0,0
nba,2021,MEM,Memphis Grizzlies,2,82,56,26,0,0
nba,2021,MIA,Miami Heat,3,82,53,29,0,0
nba,2021,GS,Golden State Warriors,4,82,53,29,0,0
nba,2021,DAL,Dallas Mavericks,5,82,52,30,0,0
nba,2021,BOS,Boston Celtics,6,82,51,31,0,0
nba,2021,MIL,Milwaukee Bucks,7,82,51,31,0,0
nba,2021,PHI,Philadelphia 76ers,8,82,51,31,0,0
nba,2021,UTAH,Utah Jazz,9,82,49,33,0,0
nba,2021,TOR,Toronto Raptors,10,82,48,34,0,0
nba,2021,DEN,Denver Nuggets,11,82,48,34,0,0
nba,2021,MIN,Minnesota Timberwolves,12,82,46,36,0,0
nba,2021,CHI,Chicago Bulls,13,82,46,36,0,0
nba,2021,BKN,Brooklyn Nets,14,82,44,38,0,0
nba,2021,CLE,Cleveland Cavaliers,15,82,44,38,0,0
nba,2021,ATL,Atlanta Hawks,16,82,43,39,0,0
nba,2021,CHA,Charlotte Hornets,17,82,43,39,0,0
nba,2021,LAC,LA Clippers,18,82,42,40,0,0
nba,2021,NY,New York Knicks,19,82,37,45,0,0
nba,2021,NO,New Orleans Pelicans,20,82,36,46,0,0
nba,2021,WSH,Washington Wizards,21,82,35,47,0,0
nba,2021,SA,San Antonio Spurs,22,82,34,48,0,0
nba,2021,LAL,Los Angeles Lakers,23,82,33,49,0,0
nba,2021,SAC,Sacramento Kings,24,82,30,52,0,0
nba,2021,POR,Portland Trail Blazers,25,82,27,55,0,0
nba,2021,IND,Indiana Pacers,26,82,25,57,0,0
nba,2021,OKC,Oklahoma City Thunder,27,82,24,58,0,0
nba,2021,DET,Detroit Pistons,28,82,23,59,0,0
nba,2021,ORL,Orlando Magic,29,82,22,60,0,0
nba,2021,HOU,Houston Rockets,30,82,20,62,0,0
nba,2022,MIL,Milwaukee Bucks,1,82,58,24,0,0
nba,2022,BOS,Boston Celtics,2,82,57,25,0,0
nba,2022,PHI,Philadelphia 76ers,3,82,54,28,0,0
nba,2022,DEN,Denver Nuggets,4,82,53,29,0,0
nba,2022,MEM,Memphis Grizzlies,5,82,51,31,0,0
nba,2022,CLE,Cleveland Cavaliers,6,82,51,31,0,0
nba,2022,SAC,Sacramento Kings,7,82,48,34,0,0
nba,2022,NY,New York Knicks,8,82,47,35,0,0
nba,2022,PHX,Phoenix Suns,9,82,45,37,0,0
nba,2022,BKN,Brooklyn Nets,10,82,45,37,0,0
nba,2022,MIA,Miami Heat,11,82,44,38,0,0
nba,2022,LAC,LA Clippers,12,82,44,38,0,0
nba,2022,GS,Golden State Warriors,13,82,44,38,0,0
nba,2022,LAL,Los Angeles Lakers,14,82,43,39,0,0
nba,2022,MIN,Minnesota Timberwolves,15,82,42,40,0,0
nba,2022,NO,New Orleans Pelicans,16,82,42,40,0,0
nba,2022,ATL,Atlanta Hawks,17,82,41,41,0,0
nba,2022,TOR,Toronto Raptors,18,82,41,41,0,0
nba,2022,CHI,Chicago Bulls,19,82,40,42,0,0
nba,2022,OKC,Oklahoma City Thunder,20,82,40,42,0,0
nba,2022,DAL,Dallas Mavericks,21,82,38,44,0,0
nba,2022,UTAH,Utah Jazz,22,82,37,45,0,0
nba,2022,IND,Indiana Pacers,23,82,35,47,0,0
nba,2022,WSH,Washington Wizards,24,82,35,47,0,0
nba,2022,ORL,Orlando Magic,25,82,34,48,0,0
nba,2022,POR,Portland Trail Blazers,26,82,33,49,0,0
nba,2022,CHA,Charlotte Hornets,27,82,27,55,0,0
nba,2022,HOU,Houston Rockets,28,82,22,60,0,0
nba,2022,SA,San Antonio Spurs,29,82,22,60,0,0
nba,2022,DET,Detroit Pistons,30,82,17,65,0,0
nfl,2013,SEA,Seattle Seahawks,1,16,13,3,0,0
nfl,2013,DEN,Denver Broncos,2,16,13,3,0,0
nfl,2013,SF,San Francisco 49ers,3,16,12,4,0,0
nfl,2013,NE,New England Patriots,4,16,12,4,0,0
nfl,2013,CAR,Carolina Panthers,5,16,12,4,0,0
nfl,2013,CIN,Cincinnati Bengals,6,16,11,5,0,0
nfl,2013,IND,Indianapolis Colts,7,16,11,5,0,0
nfl,2013,KC,Kansas City Chiefs,8,16,11,5,0,0
nfl,2013,NO,New Orleans Saints,9,16,11,5,0,0
nfl,2013,PHI,Philadelphia Eagles,10,16,10,6,0,0
nfl,2013,ARI,Arizona Cardinals,11,16,10,6,0,0
nfl,2013,SD,San Diego Chargers,12,16,9,7,0,0
nfl,2013,GB,Green Bay Packers,13,16,8,7,1,0
nfl,2013,CHI,Chicago Bears,14,16,8,8,0,0
nfl,2013,DAL,Dallas Cowboys,15,16,8,8,0,0
nfl,2013,PIT,Pittsburgh Steelers,16,16,8,8,0,0
nfl,2013,BAL,Baltimore Ravens,17,16,8,8,0,0
nfl,2013,NYJ,New York Jets,18,16,8,8,0,0
nfl,2013,MIA,Miami Dolphins,19,16,8,8,0,0
nfl,2013,DET,Detroit Lions,20,16,7,9,0,0
nfl,2013,TEN,Tennessee Titans,21,16,7,9,0,0
nfl,2013,STL,St. Louis Rams,22,16,7,9,0,0
nfl,2013,NYG,New York Giants,23,16,7,9,0,0
nfl,2013,BUF,Buffalo Bills,24,16,6,10,0,0
nfl,2013,MIN,Minnesota Vikings,25,16,5,10,1,0
nfl,2013,CLE,Cleveland Browns,26,16,4,12,0,0
nfl,2013,OAK,Oakland Raiders,27,16,4,12,0,0
nfl,2013,JAX,Jacksonville Jaguars,28,16,4,12,0,0
nfl,2013,ATL,Atlanta Falcons,29,16,4,12,0,0
nfl,2013,TB,Tampa Bay Buccaneers,30,16,4,12,0,0
nfl,2013,WSH,Washington Redskins,31,16,3,13,0,0
nfl,2013,HOU,Houston Texans,32,16,2,14,0,0
nfl,2014,NE,New England Patriots,1,16,12,4,0,0
nfl,2014,SEA,Seattle Seahawks,2,16,12,4,0,0
nfl,2014,DEN,Denver Broncos,3,16,12,4,0,0
nfl,2014,GB,Green Bay Packers,4,16,12,4,0,0
nfl,2014,DAL,Dallas Cowboys,5,16,12,4,0,0
nfl,2014,PIT,Pittsburgh Steelers,6,16,11,5,0,0
nfl,2014,IND,Indianapolis Colts,7,16,11,5,0,0
nfl,2014,ARI,Arizona Cardinals,8,16,11,5,0,0
nfl,2014,DET,Detroit Lions,9,16,11,5,0,0
nfl,2014,CIN,Cincinnati Bengals,10,16,10,5,1,0
nfl,2014,BAL,Baltimore Ravens,11,16,10,6,0,0
nfl,2014,PHI,Philadelphia Eagles,12,16,10,6,0,0
nfl,2014,KC,Kansas City Chiefs,13,16,9,7,0,0
nfl,2014,HOU,Houston Texans,14,16,9,7,0,0
nfl,2014,SD,San Diego Chargers,15,16,9,7,0,0
nfl,2014,BUF,Buffalo Bills,16,16,9,7,0,0
nfl,2014,SF,San Francisco 49ers,17,16,8,8,0,0
nfl,2014,MIA,Miami Dolphins,18,16,8,8,0,0
nfl,2014,CAR,Carolina Panthers,19,16,7,8,1,0
nfl,2014,NO,New Orleans Saints,20,16,7,9,0,0
nfl,2014,MIN,Minnesota Vikings,21,16,7,9,0,0
nfl,2014,CLE,Cleveland Browns,22,16,7,9,0,0
nfl,2014,NYG,New York Giants,23,16,6,10,0,0
nfl,2014,ATL,Atlanta Falcons,24,16,6,10,0,0
nfl,2014,STL,St. Louis Rams,25,16,6,10,0,0
nfl,2014,CHI,Chicago Bears,26,16,5,11,0,0
nfl,2014,NYJ,New York Jets,27,16,4,12,0,0
nfl,2014,WSH,Washington Redskins,28,16,4,12,0,0
nfl,2014,JAX,Jacksonville Jaguars,29,16,3,13,0,0
nfl,2014,OAK,Oakland Raiders,30,16,3,13,0,0
nfl,2014,TEN,Tennessee Titans,31,16,2,14,0,0
nfl,2014,TB,Tampa Bay Buccaneers,32,16,2,14,0,0
nfl,2015,CAR,Carolina Panthers,1,16,15,1,0,0
nfl,2015,ARI,Arizona Cardinals,2,16,13,3,0,0
nfl,2015,DEN,Denver Broncos,3,16,12,4,0,0
nfl,2015,NE,New England Patriots,4,16,12,4,0,0
nfl,2015,CIN,Cincinnati Bengals,5,16,12,4,0,0
nfl,2015,MIN,Minnesota Vikings,6,16,11,5,0,0
nfl,2015,KC,Kansas City Chiefs,7,16,11,5,0,0
nfl,2015,GB,Green Bay Packers,8,16,10,6,0,0
nfl,2015,PIT,Pittsburgh Steelers,9,16,10,6,0,0
nfl,2015,SEA,Seattle Seahawks,10,16,10,6,0,0
nfl,2015,NYJ,New York Jets,11,16,10,6,0,0
nfl,2015,WSH,Washington Redskins,12,16,9,7,0,0
nfl,2015,HOU,Houston Texans,13,16,9,7,0,0
nfl,2015,ATL,Atlanta Falcons,14,16,8,8,0,0
nfl,2015,BUF,Buffalo Bills,15,16,8,8,0,0
nfl,2015,IND,Indianapolis Colts,16,16,8,8,0,0
nfl,2015,STL,St. Louis Rams,17,16,7,9,0,0
nfl,2015,DET,Detroit Lions,18,16,7,9,0,0
nfl,2015,OAK,Oakland Raiders,19,16,7,9,0,0
nfl,2015,PHI,Philadelphia Eagles,20,16,7,9,0,0
nfl,2015,NO,New Orleans Saints,21,16,7,9,0,0
nfl,2015,MIA,Miami Dolphins,22,16,6,10,0,0
nfl,2015,NYG,New York Giants,23,16,6,10,0,0
nfl,2015,CHI,Chicago Bears,24,16,6,10,0,0
nfl,2015,TB,Tampa Bay Buccaneers,25,16,6,10,0,0
nfl,2015,JAX,Jacksonville Jaguars,26,16,5,11,0,0
nfl,2015,BAL,Baltimore Ravens,27,16,5,11,0,0
nfl,2015,SF,San Francisco 49ers,28,16,5,11,0,0
nfl,2015,SD,San Diego Chargers,29,16,4,12,0,0
nfl,2015,DAL,Dallas Cowboys,30,16,4,12,0,0
nfl,2015,CLE,Cleveland Browns,31,16,3,13,0,0
nfl,2015,TEN,Tennessee Titans,32,16,3,13,0,0
nfl,2016,NE,New England Patriots,1,16,14,2,0,0
nfl,2016,DAL,Dallas Cowboys,2,16,13,3,0,0
nfl,2016,KC,Kansas City Chiefs,3,16,12,4,0,0
nfl,2016,OAK,Oakland Raiders,4,16,12,4,0,0
nfl,2016,ATL,Atlanta Falcons,5,16,11,5,0,0
nfl,2016,PIT,Pittsburgh Steelers,6,16,11,5,0,0
nfl,2016,NYG,New York Giants,7,16,11,5,0,0
nfl,2016,SEA,Seattle Seahawks,8,16,10,5,1,0
nfl,2016,GB,Green Bay Packers,9,16,10,6,0,0
nfl,2016,MIA,Miami Dolphins,10,16,10,6,0,0
nfl,2016,HOU,Houston Texans,11,16,9,7,0,0
nfl,2016,DET,Detroit Lions,12,16,9,7,0,0
nfl,2016,TEN,Tennessee Titans,13,16,9,7,0,0
nfl,2016,TB,Tampa Bay Buccaneers,14,16,9,7,0,0
nfl,2016,DEN,Denver Broncos,15,16,9,7,0,0
nfl,2016,WSH,Washington Redskins,16,16,8,7,1,0
nfl,2016,MIN,Minnesota Vikings,17,16,8,8,0,0
nfl,2016,BAL,Baltimore Ravens,18,16,8,8,0,0
nfl,2016,IND,Indianapolis Colts,19,16,8,8,0,0
nfl,2016,ARI,Arizona Cardinals,20,16,7,8,1,0
nfl,2016,BUF,Buffalo Bills,21,16,7,9,0,0
nfl,2016,NO,New Orleans Saints,22,16,7,9,0,0
nfl,2016,PHI,Philadelphia Eagles,23,16,7,9,0,0
nfl,2016,CIN,Cincinnati Bengals,24,16,6,9,1,0
nfl,2016,CAR,Carolina Panthers,25,16,6,10,0,0
nfl,2016,NYJ,New York Jets,26,16,5,11,0,0
nfl,2016,SD,San Diego Chargers,27,16,5,11,0,0
nfl,2016,LAR,Los Angeles Rams,28,16,4,12,0,0
nfl,2016,CHI,Chicago Bears,29,16,3,13,0,0
nfl,2016,JAX,Jacksonville Jaguars,30,16,3,13,0,0
nfl,2016,SF,San Francisco 49ers,31,16,2,14,0,0
nfl,2016,CLE,Cleveland Browns,32,16,1,15,0,0
nfl,2017,NE,New England Patriots,1,16,13,3,0,0
nfl,2017,PHI,Philadelphia Eagles,2,16,13,3,0,0
nfl,2017,MIN,Minnesota Vikings,3,16,13,3,0,0
nfl,2017,PIT,Pittsburgh Steelers,4,16,13,3,0,0
nfl,2017,LAR,Los Angeles Rams,5,16,11,5,0,0
nfl,2017,NO,New Orleans Saints,6,16,11,5,0,0
nfl,2017,CAR,Carolina Panthers,7,16,11,5,0,0
nfl,2017,JAX,Jacksonville Jaguars,8,16,10,6,0,0
nfl,2017,KC,Kansas City Chiefs,9,16,10,6,0,0
nfl,2017,ATL,Atlanta Falcons,10,16,10,6,0,0
nfl,2017,TEN,Tennessee Titans,11,16,9,7,0,0
nfl,2017,BUF,Buffalo Bills,12,16,9,7,0,0
nfl,2017,DET,Detroit Lions,13,16,9,7,0,0
nfl,2017,BAL,Baltimore Ravens,14,16,9,7,0,0
nfl,2017,LAC,Los Angeles Chargers,15,16,9,7,0,0
nfl,2017,SEA,Seattle Seahawks,16,16,9,7,0,0
nfl,2017,DAL,Dallas Cowboys,17,16,9,7,0,0
nfl,2017,ARI,Arizona Cardinals,18,16,8,8,0,0
nfl,2017,CIN,Cincinnati Bengals,19,16,7,9,0,0
nfl,2017,GB,Green Bay Packers,20,16,7,9,0,0
nfl,2017,WSH,Washington Redskins,21,16,7,9,0,0
nfl,2017,OAK,Oakland Raiders,22,16,6,10,0,0
nfl,2017,MIA,Miami Dolphins,23,16,6,10,0,0
nfl,2017,SF,San Francisco 49ers,24,16,6,10,0,0
nfl,2017,DEN,Denver Broncos,25,16,5,11,0,0
nfl,2017,NYJ,New York Jets,26,16,5,11,0,0
nfl,2017,TB,Tampa Bay Buccaneers,27,16,5,11,0,0
nfl,2017,CHI,Chicago Bears,28,16,5,11,0,0
nfl,2017,IND,Indianapolis Colts,29,16,4,12,0,0
nfl,2017,HOU,Houston Texans,30,16,4,12,0,0
nfl,2017,NYG,New York Giants,31,16,3,13,0,0
nfl,2017,CLE,Cleveland Browns,32,16,0,16,0,0
nfl,2018,NO,New Orleans Saints,1,16,13,3,0,0
nfl,2018,LAR,Los Angeles Rams,2,16,13,3,0,0
nfl,2018,KC,Kansas City Chiefs,3,16,12,4,0,0
nfl,2018,CHI,Chicago Bears,4,16,12,4,0,0
nfl,2018,LAC,Los Angeles Chargers,5,16,12,4,0,0
nfl,2018,NE,New England Patriots,6,16,11,5,0,0
nfl,2018,HOU,Houston Texans,7,16,11,5,0,0
nfl,2018,DAL,Dallas Cowboys,8,16,10,6,0,0
nfl,2018,BAL,Baltimore Ravens,9,16,10,6,0,0
nfl,2018,SEA,Seattle Seahawks,10,16,10,6,0,0
nfl,2018,IND,Indianapolis Colts,11,16,10,6,0,0
nfl,2018,PIT,Pittsburgh Steelers,12,16,9,6,1,0
nfl,2018,PHI,Philadelphia Eagles,13,16,9,7,0,0
nfl,2018,TEN,Tennessee Titans,14,16,9,7,0,0
nfl,2018,MIN,Minnesota Vikings,15,16,8,7,1,0
nfl,2018,CLE,Cleveland Browns,16,16,7,8,1,0
nfl,2018,ATL,Atlanta Falcons,17,16,7,9,0,0
nfl,2018,WSH,Washington Redskins,18,16,7,9,0,0
nfl,2018,MIA,Miami Dolphins,19,16,7,9,0,0
nfl,2018,CAR,Carolina Panthers,20,16,7,9,0,0
nfl,2018,GB,Green Bay Packers,21,16,6,9,1,0
nfl,2018,DEN,Denver Broncos,22,16,6,10,0,0
nfl,2018,CIN,Cincinnati Bengals,23,16,6,10,0,0
nfl,2018,DET,Detroit Lions,24,16,6,10,0,0
nfl,2018,BUF,Buffalo Bills,25,16,6,10,0,0
nfl,2018,NYG,New York Giants,26,16,5,11,0,0
nfl,2018,TB,Tampa Bay Buccaneers,27,16,5,11,0,0
nfl,2018,JAX,Jacksonville Jaguars,28,16,5,11,0,0
nfl,2018,NYJ,New York Jets,29,16,4,12,0,0
nfl,2018,SF,San Francisco 49ers,30,16,4,12,0,0
nfl,2018,OAK,Oakland Raiders,31,16,4,12,0,0
nfl,2018,ARI,Arizona Cardinals,32,16,3,13,0,0
nfl,2019,BAL,Baltimore Ravens,1,16,14,2,0,0
nfl,2019,SF,San Francisco 49ers,2,16,13,3,0,0
nfl,2019,GB,Green Bay Packers,3,16,13,3,0,0
nfl,2019,NO,New Orleans Saints,4,16,13,3,0,0
nfl,2019,KC,Kansas City Chiefs,5,16,12,4,0,0
nfl,2019,NE,New England Patriots,6,16,12,4,0,0
nfl,2019,SEA,Seattle Seahawks,7,16,11,5,0,0
nfl,2019,HOU,Houston Texans,8,16,10,6,0,0
nfl,2019,BUF,Buffalo Bills,9,16,10,6,0,0
nfl,2019,MIN,Minnesota Vikings,10,16,10,6,0,0
nfl,2019,PHI,Philadelphia Eagles,11,16,9,7,0,0
nfl,2019,TEN,Tennessee Titans,12,16,9,7,0,0
nfl,2019,LAR,Los Angeles Rams,13,16,9,7,0,0
nfl,2019,PIT,Pittsburgh Steelers,14,16,8,8,0,0
nfl,2019,CHI,Chicago Bears,15,16,8,8,0,0
nfl,2019,DAL,Dallas Cowboys,16,16,8,8,0,0
nfl,2019,DEN,Denver Broncos,17,16,7,9,0,0
nfl,2019,OAK,Oakland Raiders,18,16,7,9,0,0
nfl,2019,ATL,Atlanta Falcons,19,16,7,9,0,0
nfl,2019,IND,Indianapolis Colts,20,16,7,9,0,0
nfl,2019,NYJ,New York Jets,21,16,7,9,0,0
nfl,2019,TB,Tampa Bay Buccaneers,22,16,7,9,0,0
nfl,2019,JAX,Jacksonville Jaguars,23,16,6,10,0,0
nfl,2019,CLE,Cleveland Browns,24,16,6,10,0,0
nfl,2019,ARI,Arizona Cardinals,25,16,5,10,1,0
nfl,2019,CAR,Carolina Panthers,26,16,5,11,0,0
nfl,2019,LAC,Los Angeles Chargers,27,16,5,11,0,0
nfl,2019,MIA,Miami Dolphins,28,16,5,11,0,0
nfl,2019,NYG,New York Giants,29,16,4,12,0,0
nfl,2019,DET,Detroit Lions,30,16,3,12,1,0
nfl,2019,WSH,Washington,31,16,3,13,0,0
nfl,2019,CIN,Cincinnati Bengals,32,16,2,14,0,0
nfl,2020,KC,Kansas City Chiefs,1,16,14,2,0,0
nfl,2020,GB,Green Bay Packers,2,16,13,3,0,0
nfl,2020,BUF,Buffalo Bills,3,16,13,3,0,0
nfl,2020,NO,New Orleans Saints,4,16,12,4,0,0
nfl,2020,PIT,Pittsburgh Steelers,5,16,12,4,0,0
nfl,2020,SEA,Seattle Seahawks,6,16,12,4,0,0
nfl,2020,TEN,Tennessee Titans,7,16,11,5,0,0
nfl,2020,TB,Tampa Bay Buccaneers,8,16,11,5,0,0
nfl,2020,BAL,Baltimore Ravens,9,16,11,5,0,0
nfl,2020,CLE,Cleveland Browns,10,16,11,5,0,0
nfl,2020,IND,Indianapolis Colts,11,16,11,5,0,0
nfl,2020,LAR,Los Angeles Rams,12,16,10,6,0,0
nfl,2020,MIA,Miami Dolphins,13,16,10,6,0,0
nfl,2020,CHI,Chicago Bears,14,16,8,8,0,0
nfl,2020,ARI,Arizona Cardinals,15,16,8,8,0,0
nfl,2020,LV,Las Vegas Raiders,16,16,8,8,0,0
nfl,2020,WSH,Washington,17,16,7,9,0,0
nfl,2020,MIN,Minnesota Vikings,18,16,7,9,0,0
nfl,2020,NE,New England Patriots,19,16,7,9,0,0
nfl,2020,LAC,Los Angeles Chargers,20,16,7,9,0,0
nfl,2020,SF,San Francisco 49ers,21,16,6,10,0,0
nfl,2020,NYG,New York Giants,22,16,6,10,0,0
nfl,2020,DAL,Dallas Cowboys,23,16,6,10,0,0
nfl,2020,DEN,Denver Broncos,24,16,5,11,0,0
nfl,2020,CAR,Carolina Panthers,25,16,5,11,0,0
nfl,2020,DET,Detroit Lions,26,16,5,11,0,0
nfl,2020,CIN,Cincinnati Bengals,27,16,4,11,1,0
nfl,2020,PHI,Philadelphia Eagles,28,16,4,11,1,0
nfl,2020,HOU,Houston Texans,29,16,4,12,0,0
nfl,2020,ATL,Atlanta Falcons,30,16,4,12,0,0
nfl,2020,NYJ,New York Jets,31,16,2,14,0,0
nfl,2020,JAX,Jacksonville Jaguars,32,16,1,15,0,0
nfl,2021,GB,Green Bay Packers,1,17,13,4,0,0
nfl,2021,TB,Tampa Bay Buccaneers,2,17,13,4,0,0
nfl,2021,TEN,Tennessee Titans,3,17,12,5,0,0
nfl,2021,KC,Kansas City Chiefs,4,17,12,5,0,0
nfl,2021,DAL,Dallas Cowboys,5,17,12,5,0,0
nfl,2021,LAR,Los Angeles Rams,6,17,12,5,0,0
nfl,2021,BUF,Buffalo Bills,7,17,11,6,0,0
nfl,2021,ARI,Arizona Cardinals,8,17,11,6,0,0
nfl,2021,CIN,Cincinnati Bengals,9,17,10,7,0,0
nfl,2021,LV,Las Vegas Raiders,10,17,10,7,0,0
nfl,2021,NE,New England Patriots,11,17,10,7,0,0
nfl,2021,SF,San Francisco 49ers,12,17,10,7,0,0
nfl,2021,PIT,Pittsburgh Steelers,13,17,9,7,1,0
nfl,2021,PHI,Philadelphia Eagles,14,17,9,8,0,0
nfl,2021,IND,Indianapolis Colts,15,17,9,8,0,0
nfl,2021,NO,New Orleans Saints,16,17,9,8,0,0
nfl,2021,MIA,Miami Dolphins,17,17,9,8,0,0
nfl,2021,LAC,Los Angeles Chargers,18,17,9,8,0,0
nfl,2021,MIN,Minnesota Vikings,19,17,8,9,0,0
nfl,2021,CLE,Cleveland Browns,20,17,8,9,0,0
nfl,2021,BAL,Baltimore Ravens,21,17,8,9,0,0
nfl,2021,WSH,Washington,22,17,7,10,0,0
nfl,2021,SEA,Seattle Seahawks,23,17,7,10,0,0
nfl,2021,ATL,Atlanta Falcons,24,17,7,10,0,0
nfl,2021,DEN,Denver Broncos,25,17,7,10,0,0
nfl,2021,CHI,Chicago Bears,26,17,6,11,0,0
nfl,2021,CAR,Carolina Panthers,27,17,5,12,0,0
nfl,2021,NYJ,New York Jets,28,17,4,13,0,0
nfl,2021,NYG,New York Giants,29,17,4,13,0,0
nfl,2021,HOU,Houston Texans,30,17,4,13,0,0
nfl,2021,DET,Detroit Lions,31,17,3,13,1,0
nfl,2021,JAX,Jacksonville Jaguars,32,17,3,14,0,0
nfl,2022,KC,Kansas City Chiefs,1,17,14,3,0,0
nfl,2022,PHI,Philadelphia Eagles,2,17,14,3,0,0
nfl,2022,BUF,Buffalo Bills,3,16,13,3,0,0
nfl,2022,SF,San Francisco 49ers,4,17,13,4,0,0
nfl,2022,MIN,Minnesota Vikings,5,17,13,4,0,0
nfl,2022,CIN,Cincinnati Bengals,6,16,12,4,0,0
nfl,2022,DAL,Dallas Cowboys,7,17,12,5,0,0
nfl,2022,LAC,Los Angeles Chargers,8,17,10,7,0,0
nfl,2022,BAL,Baltimore Ravens,9,17,10,7,0,0
nfl,2022,NYG,New York Giants,10,17,9,7,1,0
nfl,2022,JAX,Jacksonville Jaguars,11,17,9,8,0,0
nfl,2022,MIA,Miami Dolphins,12,17,9,8,0,0
nfl,2022,SEA,Seattle Seahawks,13,17,9,8,0,0
nfl,2022,DET,Detroit Lions,14,17,9,8,0,0
nfl,2022,PIT,Pittsburgh Steelers,15,17,9,8,0,0
nfl,2022,WSH,Washington Commanders,16,17,8,8,1,0
nfl,2022,TB,Tampa Bay Buccaneers,17,17,8,9,0,0
nfl,2022,NE,New England Patriots,18,17,8,9,0,0
nfl,2022,GB,Green Bay Packers,19,17,8,9,0,0
nfl,2022,NYJ,New York Jets,20,17,7,10,0,0
nfl,2022,TEN,Tennessee Titans,21,17,7,10,0,0
nfl,2022,CAR,Carolina Panthers,22,17,7,10,0,0
nfl,2022,CLE,Cleveland Browns,23,17,7,10,0,0
nfl,2022,NO,New Orleans Saints,24,17,7,10,0,0
nfl,2022,ATL,Atlanta Falcons,25,17,7,10,0,0
nfl,2022,LV,Las Vegas Raiders,26,17,6,11,0,0
nfl,2022,DEN,Denver Broncos,27,17,5,12,0,0
nfl,2022,LAR,Los Angeles Rams,28,17,5,12,0,0
nfl,2022,IND,Indianapolis Colts,29,17,4,12,1,0
nfl,2022,ARI,Arizona Cardinals,30,17,4,13,0,0
nfl,2022,HOU,Houston Texans,31,17,3,13,1,0
nfl,2022,CHI,Chicago Bears,32,17,3,14,0,0
nhl,2013,BOS,Boston Bruins,1,82,54,19,9,117
nhl,2013,ANA,Anaheim Ducks,2,82,54,20,8,116
nhl,2013,COL,Colorado Avalanche,3,82,52,22,8,112
nhl,2013,STL,St. Louis Blues,4,82,52,23,7,111
nhl,2013,SJ,San Jose Sharks,5,82,51,22,9,111
nhl,2013,PIT,Pittsburgh Penguins,6,82,51,24,7,109
nhl,2013,CHI,Chicago Blackhawks,7,82,46,21,15,107
nhl,2013,TB,Tampa Bay Lightning,8,82,46,27,9,101
nhl,2013,MTL,Montreal Canadiens,9,82,46,28,8,100
nhl,2013,LA,Los Angeles Kings,10,82,46,28,8,100
nhl,2013,MIN,Minnesota Wild,11,82,43,27,12,98
nhl,2013,NYR,New York Rangers,12,82,45,31,6,96
nhl,2013,PHI,Philadelphia Flyers,13,82,42,30,10,94
nhl,2013,CBJ,Columbus Blue Jackets,14,82,43,32,7,93
nhl,2013,DET,Detroit Red Wings,15,82,39,28,15,93
nhl,2013,DAL,Dallas Stars,16,82,40,31,11,91
nhl,2013,WSH,Washington Capitals,17,82,38,30,14,90
nhl,2013,PHX,Phoenix Coyotes,18,82,37,30,15,89
nhl,2013,NSH,Nashville Predators,19,82,38,32,12,88
nhl,2013,NJ,New Jersey Devils,20,82,35,29,18,88
nhl,2013,OTT,Ottawa Senators,21,82,37,31,14,88
nhl,2013,WPG,Winnipeg Jets,22,82,37,35,10,84
nhl,2013,TOR,Toronto Maple Leafs,23,82,38,36,8,84
nhl,2013,CAR,Carolina Hurricanes,24,82,36,35,11,83
nhl,2013,VAN,Vancouver Canucks,25,82,36,35,11,83
nhl,2013,NYI,New York Islanders,26,82,34,37,11,79
nhl,2013,CGY,Calgary Flames,27,82,35,40,7,77
nhl,2013,EDM,Edmonton Oilers,28,82,29,44,9,67
nhl,2013,FLA,Florida Panthers,29,82,29,45,8,66
nhl,2013,BUF,Buffalo Sabres,30,82,21,51,10,52
nhl,2014,NYR,New York Rangers,1,89,53,29,7,113
nhl,2014,MTL,Montreal Canadiens,2,92,50,32,10,110
nhl,2014,ANA,Anaheim Ducks,3,89,51,31,7,109
nhl,2014,STL,St. Louis Blues,4,89,51,31,7,109
nhl,2014,TB,Tampa Bay Lightning,5,90,50,32,8,108
nhl,2014,NSH,Nashville Predators,6,92,47,35,10,104
nhl,2014,CHI,Chicago Blackhawks,7,88,48,34,6,102
nhl,2014,VAN,Vancouver Canucks,8,87,48,34,5,101
nhl,2014,WSH,Washington Capitals,9,93,45,37,11,101
nhl,2014,NYI,New York Islanders,10,89,47,35,7,101
nhl,2014,MIN,Minnesota Wild,11,90,46,36,8,100
nhl,2014,DET,Detroit Red Wings,12,96,43,39,14,100
nhl,2014,OTT,Ottawa Senators,13,95,43,39,13,99
nhl,2014,WPG,Winnipeg Jets,14,95,43,39,13,99
nhl,2014,PIT,Pittsburgh Penguins,15,94,43,39,12,98
nhl,2014,CGY,Calgary Flames,16,89,45,37,7,97
nhl,2014,BOS,Boston Bruins,17,96,41,41,14,96
nhl,2014,LA,Los Angeles Kings,18,97,40,42,15,95
